A00,Холера
I05,Ревматични болести на митралната клапа
I05.0,Митрална стеноза
I05.1,Ревматична митрална инсуфициенция
I05.2,Митрална стеноза и инсуфициенция
I05.8,Други болести на митралната клапа
I05.9,"Болест на митралната клапа, неуточнена"
I06,Ревматични болести на аортната клапа
I06.0,Ревматична аортна стеноза
I06.1,Ревматична аортна инсуфициенция
I06.2,Ревматична аортна стеноза и инсуфициенция
I06.8,Други ревматични болести на аортната клапа
I06.9,"Ревматична болест на аортната клапа, неуточнена"
I07,Ревматични болести на  трикуспидалната клапа
I07.0,Трикуспидална стеноза
I07.1,Трикуспидална инсуфициенция
I07.2,Трикуспидална стеноза и инсуфициенция
I07.8,Други болести на трикуспидалната клапа
I07.9,"Болест на трикуспидалната клапа, неуточнена"
I08,Болести на няколко клапи
I08.0,Съчетано засягане на митралната и аортната клапи
I08.1,Съчетано засягане на митралната и трикуспидалната клапи
I08.2,Съчетано засягане на аортната и трикуспидалната клапи
I08.3,"Съчетано засягане на митралната, аортната и трикуспидалната клапи"
I08.8,Други болести на няколко клапи
I08.9,"Болест на няколко клапи, неуточнена"
I09,Други ревматични болести на сърцето
I09.0,Ревматичен миокардит
I09.1,Ревматични болести на ендокарда без уточняване на клапа
I09.2,Хроничен ревматичен перикардит
I09.8,Други уточнени ревматични болести на сърцето
I09.9,"Ревматична болест на сърцето, неуточнена"
I10,Есенциална [първична] хипертония
I11,Хипертонична болест на сърцето
I11.0,Хипертонично сърце със (застойна) сърдечна недостатъчност
I11.9,Хипертонично сърце без (застойна) сърдечна недостатъчност
I12,Хипертоничен бъбрек  [хипертонична бъбречна болест]
I12.0,Хипертоничен бъбрек с бъбречна недостатъчност
I12.9,Хипертоничен бъбрек без бъбречна недостатъчност
I13,Съчетание на хипертонично сърце с хипертоничен бъбрек
I13.0,Съчетание на хипертонично сърце с хипертоничен бъбрек и със (застойна) сърдечна недостатъчност
I13.1,Съчетание на хипертонично сърце с хипертоничен бъбрек и с бъбречна недостатъчност
I13.2,"Съчетание на хипертонично сърце с хипертоничен бъбрек с наличие както на (застойна) сърдечна недостатъчност, така и на бъбречна недостатъчност"
I13.9,"Съчетание на хипертонично сърце с хипертоничен бъбрек, неуточнено"
I15,Вторична хипертония
I15.0,Бъбречно-съдова хипертония
I15.1,"Хипертония, дължаща се на други бъбречни нарушения"
I15.2,"Хипертония, дължаща се на ендокринни нарушения"
I15.8,Други видове вторична хипертония
I15.9,"Вторична хипертония, неуточнена"
I20,Стенокардия
I20.0,Нестабилна стенокардия
I20.1,Стенокардия с документиран спазъм
I20.8,Други видове стенокардия
I20.9,"Стенокардия, неуточнена"
I21,Остър инфаркт на миокарда
I21.0,Остър трансмурален инфаркт на миокарда на предната стена
I21.1,Остър трансмурален инфаркт на миокарда на долната стена
I21.2,Остър трансмурален инфаркт на миокарда с други уточнени локализации
I21.3,Остър трансмурален инфаркт на миокарда с неуточнена локализация
I21.4,Остър субендокарден инфаркт на миокарда
I21.9,"Остър инфаркт на миокарда, неуточнен"
I22,Повторен инфаркт на миокарда
I22.0,Повторен инфаркт на миокарда на предната стена
I22.1,Повторен инфаркт на миокарда на долната стена
I22.8,Повторен инфаркт на миокарда с друга уточнена локализация
I22.9,Повторен инфаркт на миокарда с неуточнена локализация
I23,Някои текущи усложнения на острия инфаркт на миокарда
I23.0,Хемоперикард като текущо усложнение на острия инфаркт на миокарда
I23.1,Междупредсърден дефект като текущо усложнение на острия инфаркт на миокарда
I23.2,Междукамерен дефект като текущо усложнение на острия инфаркт на миокарда
I23.3,Руптура на сърдечната стена без хемоперикард като текущо усложнение на острия инфаркт на миокарда
I23.4,Руптура на сухожилна хорда като текущо усложнение на острия инфаркт на миокарда
I23.5,Руптура на папиларен мускул като текущо усложнение на острия инфаркт на миокарда
I23.6,"Тромбоза на предсърдие, предсърдно ухо или камера като текущо усложнение на острия инфаркт на миокарда"
I23.8,Други текущи усложнения на острия инфаркт на миокарда
I24,Други форми на остра исхемична  болест на сърцето
I24.0,"Коронарна тромбоза, неводеща до инфаркт на миокарда"
I24.1,Синдром на Dressler
I24.8,Други форми на остра исхемична болест на сърцето
I24.9,"Остра исхемична болест на сърцето, неуточнена"
I25,Хронична исхемична болест на сърцето
I25.0,Атеросклеротична сърдечно-съдова болест - описана така
I25.1,Атеросклеротична болест на сърцето
I25.2,Стар инфаркт на миокарда
I25.3,Сърдечна аневризма
I25.4,Аневризма на коронарна артерия
I25.5,Исхемична кардиомиопатия
I25.6,Безсимптомна исхемия на миокарда
I25.8,Други форми на хронична исхемична болест на сърцето
I25.9,"Хронична исхемична болест на сърцето, неуточнена"
I26,Белодробен емболизъм
I26.0,Белодробна емболия със споменаване на остро белодробно сърце
I26.9,Белодробна емболия без споменаване на остро белодробно сърце
I27,Други форми на белодробно сърце
I27.0,Първична белодробна хипертония
I27.1,Кифосколиотично сърце
I27.8,Други уточнени форми на белодробно сърце
I27.9,"Белодробно сърце, неуточнено"
I28,Други болести на белодробните съдове
I28.0,Артериовенозна фистула на белодробните съдове
I28.1,Аневризма на белодробна артерия
I28.8,Други уточнени болести на белодробните съдове
I28.9,"Белодробно-съдова болест, неуточнена"
I30,Остър перикардит
I30.0,Остър неспецифичен идиопатичен перикардит
I30.1,Инфекциозен перикардит
I30.8,Други форми на остър перикардит
I30.9,"Остър перикардит, неуточнен"
I31,Други болести на перикарда
I31.0,Хроничен адхезивен перикардит
I31.1,Хроничен констриктивен перикардит
I31.2,"Хемоперикард, некласифициран другаде"
I31.3,Перикарден излив (невъзпалителен)
I31.8,Други уточнени болести на перикарда
I31.9,"Болест на перикарда, неуточнена"
I32*,"Перикардит при болести,  класифицирани другаде"
I32.0,"Перикардит при бактериални болести, класифицирани другаде"
I32.1,"Перикардит при други инфекциозни и паразитни болести, класифицирани другаде"
I32.8,"Перикардит при други болести, класифицирани другаде"
I33,Остър и подостър ендокардит
I33.0,Остър и подостър инфекциозен ендокардит
I33.9,"Остър ендокардит, неуточнен"
I34,Неревматични болести на митралната клапа
I34.0,Митрална (клапна) инсуфициенция
I34.1,Митрален (клапен) пролапс
I34.2,Неревматична митрална (клапна) стеноза
I34.8,Други неревматични болести на митралната клапа
I34.9,"Неревматична болест на митралната клапа, неуточнена"
I35,Неревматични болести на аортната  клапа
I35.0,Аортна (клапна) стеноза
I35.1,Аортна (клапна) инсуфициенция
I35.2,Аортна (клапна) стеноза и инсуфициенция
I35.8,Други болести на аортната клапа
I35.9,"Болест на аортната клапа, неуточнена"
I36,Неревматични болести на  трикуспидалната клапа
I36.0,Неревматична трикуспидална (клапна) стеноза
I36.1,Неревматична трикуспидална (клапна) инсуфициенция
I36.2,Неревматична трикуспидална (клапна) стеноза и инсуфициенция
I36.8,Други неревматични болести на трикуспидалната клапа
I36.9,"Неревматична болест на трикуспидалната клапа, неуточнена"
I37,Болести на пулмоналната клапа
I37.0,Стеноза на пулмоналната клапа
I37.1,Инсуфициенция на пулмоналната клапа
I37.2,Стеноза и инсуфициенция на пулмоналната клапа
I37.8,Други болести на пулмоналната клапа
I37.9,"Болест на пулмоналната клапа, неуточнена"
I38,Ендокардит без уточняване  на засегнатата клапа
I39*,"Ендокардит и увреждания  на сърдечните клапи при болести,  класифицирани другаде"
I39.0,"Увреждания на митралната клапа при болести, класифицирани другаде"
I39.1,"Увреждания на аортната клапа при болести, класифицирани другаде"
I39.2,"Увреждания на трикуспидалната клапа при болести, класифицирани другаде"
I39.3,"Увреждания на пулмоналната клапа при болести, класифицирани другаде"
I39.4,"Увреждания на няколко клапи при болести, класифицирани другаде"
I39.8,"Ендокардит без уточняване на засегнатата клапа при болести, класифицирани другаде"
I40,Остър миокардит
I40.0,Инфекциозен миокардит
I40.1,Изолиран миокардит
I40.8,Други видове остър миокардит
I40.9,"Остър миокардит, неуточнен"
I41*,"Миокардит при болести, класифицирани другаде"
I41.0,"Миокардит при бактериални болести, класифицирани другаде"
I41.1,"Миокардит при вирусни болести, класифицирани другаде"
I41.2,"Миокардит при други инфекциозни и паразитни болести, класифицирани другаде"
I41.8,"Миокардит при други болести, класифицирани другаде"
I42,Кардиомиопатия
I42.0,Дилатативна кардиомиопатия
I42.1,Обструктивна хипертрофична кардиомиопатия
I42.2,Друга хипертрофична кардиомиопатия
I42.3,Ендомиокардна (еозинофилна) болест
I42.4,Ендокардна фиброеластоза
I42.5,Друга рестриктивна кардиомиопатия
I42.6,Алкохолна кардиомиопатия
I42.7,"Кардиомиопатия, причинена от лекарства и други външни фактори"
I42.8,Други кардиомиопатии
I42.9,"Кардиомиопатия, неуточнена"
I43*,"Кардиомиопатия при болести,  класифицирани другаде"
I43.0,"Кардиомиопатия при инфекциозни и паразитни болести, класифицирани другаде"
I43.1,Кардиомиопатия при метаболитни нарушения
I43.2,Кардиомиопатия при разстройства на храненето
I43.8,"Кардиомиопатия при други болести, класифицирани другаде"
I44,Атриовентрикуларен блок и ляв бедрен блок
I44.0,"Атриовентрикуларен блок, първа степен"
I44.1,"Атриовентрикуларен блок, втора степен"
I44.2,"Атриовентрикуларен блок, пълен"
I44.3,Друг и неуточнен атриовентрикуларен блок
I44.4,Ляв преден хемиблок
I44.5,Ляв заден хемиблок
I44.6,Друг и неуточнен хемиблок
I44.7,"Ляв бедрен блок, неуточнен"
I45,Други проводни нарушения
I45.0,Десен фасцикуларен блок
I45.1,Друг и неуточнен десен бедрен блок
I45.2,Бифасцикуларен блок
I45.3,Трифасцикуларен блок
I45.4,Неспецифичен вътрекамерен блок
I45.5,Друг уточнен сърдечен блок
I45.6,Синдром на преждевременно възбуждане
I45.8,Други уточнени проводни нарушения
I45.9,"Проводно нарушение, неуточнено"
I46,Спиране на сърцето
I46.0,Спиране на сърцето с успешно възстановяване на сърдечната дейност
I46.1,"Внезапна сърдечна смърт, описана така"
I46.9,"Спиране на сърцето, неуточнено"
I47,Пароксизмална тахикардия
I47.0,Кръгова [re-entry] камерна аритмия
I47.1,Надкамерна тахикардия
I47.2,Камерна тахикардия
I47.9,"Пароксизмална тахикардия, неуточнена"
I48,Предсърдно мъждене и трептене
I49,Други сърдечни аритмии
I49.0,Камерно мъждене и трептене
I49.1,Преждевременна предсърдна деполаризация
I49.2,Преждевременна деполаризация от антриовентрикуларното съединение
I49.3,Преждевременна камерна деполаризация
I49.4,Друга и неуточнена преждевременна деполаризация
I49.5,Синдром на болния синусов възел
I49.8,Други уточнени сърдечни аритмии
I49.9,"Сърдечна аритмия, неуточнена"
I50,Сърдечна недостатъчност
I50.0,Застойна сърдечна недостатъчност
I50.1,Лявокамерна недостатъчност
I50.9,"Сърдечна недостатъчност, неуточнена"
I51,Усложнения и неточно определени  болести на сърцето
I51.0,"Дефект на сърдечна преграда, придобит"
I51.1,"Руптура на сухожилни хорди, некласифицирана другаде"
I51.2,"Руптура на папиларен мускул, некласифицирана другаде"
I51.3,"Вътресърдечна тромбоза, некласифицирана другаде"
I51.4,"Миокардит, неуточнен"
I51.5,Миокардна дегенерация
I51.6,"Сърдечно-съдова болест, неуточнена"
I51.7,Кардиомегалия
I51.8,Други неточно определени болести на сърцето
I51.9,"Болест на сърцето, неуточнена"
I52*,"Други увреждания на сърцето при болести, класифицирани другаде"
I52.0,"Други сърдечни увреждания при бактериални болести, класифицирани другаде"
I52.1,"Други сърдечни увреждания при други инфекциозни и паразитни болести, класифицирани другаде"
I52.8,"Други сърдечни увреждания при други болести, класифицирани другаде"
I60,Субарахноидален кръвоизлив
I60.0,Субарахноидален кръвоизлив от сифона и бифуркацията на каротидната артерия
I60.1,Субарахноидален кръвоизлив от средната мозъчна артерия
I60.2,Субарахноидален кръвоизлив от предната свързваща артерия
I60.3,Субарахноидален кръвоизлив от задната свързваща артерия
I60.4,Субарахноидален кръвоизлив от базиларната артерия
I60.5,Субарахноидален кръвоизлив от вертебралната артерия
I60.6,Субарахноидален кръвоизлив от други интракраниални артерии
I60.7,"Субарахноидален кръвоизлив от интракраниална артерия, неуточнен"
I60.8,Друг субарахноидален кръвоизлив
I60.9,"Субарахноидален кръвоизлив, неуточнен"
I61,Вътремозъчен кръвоизлив
I61.0,"Вътремозъчен кръвоизлив в хемисфера, субкортикален"
I61.1,"Вътремозъчен кръвоизлив в хемисфера, кортикален"
I61.2,"Вътремозъчен кръвоизлив в хемисфера, неуточнен"
I61.3,Вътремозъчен кръвоизлив в мозъчния ствол
I61.4,Вътремозъчен кръвоизлив в малкия мозък
I61.5,Вътремозъчен кръвоизлив в мозъчно стомахче
I61.6,Вътремозъчен кръвоизлив с множествена локализация
I61.8,Друг вътремозъчен кръвоизлив
I61.9,"Вътремозъчен кръвоизлив, неуточнен"
I62,Друг нетравматичен вътремозъчен  кръвоизлив
I62.0,Субдурален кръвоизлив (остър)(нетравматичен)
I62.1,Нетравматичен екстрадурален кръвоизлив
I62.9,"Вътремозъчен кръвоизлив (нетравматичен), неуточнен"
I63,Мозъчен инфаркт
I63.0,"Мозъчен инфаркт, причинен от тромбоза на прецеребрални артерии"
I63.1,"Мозъчен инфаркт, причинен от емболия на прецеребрални артерии"
I63.2,"Мозъчен инфаркт, причинен от неуточнена оклузия или стеноза на прецеребрални артерии"
I63.3,"Мозъчен инфаркт, причинен от тромбоза на церебрални артерии"
I63.4,"Мозъчен инфаркт, причинен от емболия на церебрални артерии"
I63.5,"Мозъчен инфаркт, причинен от неуточнена оклузия или стеноза на церебрални артерии"
I63.6,"Мозъчен инфаркт, причинен от тромбоза на мозъчна вена - непиогенна"
I63.8,Друг мозъчен инфаркт
I63.9,"Мозъчен инфаркт, неуточнен"
I64,"Инсулт, неуточнен като кръвоизлив или инфаркт"
I65,"Оклузия и стеноза на прецеребрални артерии, които не са предизвикали  мозъчен инфаркт"
I65.0,Оклузия и стеноза на вертебрална артерия
I65.1,Оклузия и стеноза на базиларна артерия
I65.2,Оклузия и стеноза на каротидна артерия
I65.3,Оклузия и стеноза на множество и двустранни прецеребрални артерии
I65.8,Оклузия и стеноза на други прецеребрални артерии
I65.9,Оклузия и стеноза на неуточнена прецеребрална артерия
I66,"Оклузия и стеноза на церебрални артерии, които не са предизвикали  мозъчен инфаркт"
I66.0,Оклузия и стеноза на средна церебрална артерия
I66.1,Оклузия и стеноза на предна церебрална артерия
I66.2,Оклузия и стеноза на задна церебрална артерия
I66.3,Оклузия и стеноза на артерии на малкия мозък
I66.4,Оклузия и стеноза на множество и двустранни церебрални артерии
I66.8,Оклузия и стеноза на друга церебрална артерия
I66.9,Оклузия и стеноза на неуточнена церебрална артерия
I67,Други мозъчносъдови болести
I67.0,Дисекация на церебрални артерии без руптура
I67.1,Мозъчна аневризма без руптура
I67.2,Мозъчна атеросклероза
I67.3,Прогресивна съдова левкоенцефалопатия
I67.4,Хипертонична енцефалопатия
I67.5,Болест Moyamoya
I67.6,Непиогенна тромбоза на вътречерепната венозна система
I67.7,"Мозъчен артериит, некласифициран другаде"
I67.8,Други уточнени мозъчносъдови болести
I67.9,"Мозъчносъдова болест, неуточнена"
I68*,"Мозъчносъдови увреждания при болести, класифицирани другаде"
I68.0,Мозъчна амилоидна ангиопатия (Е85.-ї)
I68.1,"Мозъчен артериит при инфекциозни и паразитни болести, класифицирани другаде"
I68.2,"Мозъчен артериит при други болести, класифицирани другаде"
I68.8,"Други мозъчносъдови увреждания при болести, класифицирани другаде"
I69,Последици от мозъчносъдова болест
I69.0,Последици от субарахноидален кръвоизлив
I69.1,Последици от вътремозъчен кръвоизлив
I69.2,Последици от друг нетравматичен вътречерепен кръвоизлив
I69.3,Последици от мозъчен инфаркт
I69.4,"Последици от инсулт, неуточнен като кръвоизлив или инфаркт на мозъка"
I69.8,Последици от други и неуточнени мозъчносъдови болести
I70,Атеросклероза
I70.0,Атеросклероза на аортата
I70.1,Атеросклероза на бъбречна артерия
I70.2,Атеросклероза на артерии на крайниците
I70.8,Атеросклероза на други артерии
I70.9,Генерализирана и неуточнена атеросклероза
I71,Аневризма и дисекация на аортата
I71.0,Дисекация на (всяка част на) аортата
I71.1,Аневризма на торакалната аорта с руптура
I71.2,Аневризма на торакалната аорта без споменаване на руптура
I71.3,Аневризма на абдоминалната аорта с руптура
I71.4,Аневризма на абдоминалната аорта без споменаване на руптура
I71.5,Аневризма на торако-абдоминалната аорта с руптура
I71.6,Аневризма на торако-абдоминалната аорта без споменаване на руптура
I71.8,"Аневризма на аортата с неуточнена локализация, с руптура"
I71.9,Аневризма на аортата с неуточнена локализация без споменаване на руптура
I72,Други видове аневризма
I72.0,Аневризма на каротидна артерия
I72.1,Аневризма на артерия на горен крайник
I72.2,Аневризма на бъбречна артерия
I72.3,Аневризма на илиачна артерия
I72.4,Аневризма на артерия на долен крайник
I72.8,Аневризма на други уточнени артерии
I72.9,Аневризма с неуточнена локализация
I73,Други болести на периферните съдове
I73.0,Синдром на Raynaud
I73.1,Облитериращ тромбангиит [болест на Buerger]
I73.8,Други уточнени болести на периферните съдове
I73.9,"Болест на периферните съдове, неуточнена"
I74,Артериална емболия и тромбоза
I74.0,Емболия и тромбоза на абдоминалната аорта
I74.1,Емболия и тромбоза на други и неуточнени части на аортата
I74.2,Емболия и тромбоза на артерии на горните крайници
I74.3,Емболия и тромбоза на артерии на долните крайници
I74.4,"Емболия и тромбоза на артерии на крайниците, неуточнени"
I74.5,Емболия и тромбоза на илиачна артерия
I74.8,Емболия и тромбоза на други артерии
I74.9,Емболия и тромбоза на неуточнена артерия
I77,Други болести на артериите и артериолите
I77.0,"Артериовенозна фистула, придобита"
I77.1,Стриктура на артерия
I77.2,Руптура на артерия
I77.3,Артериална фибромускулна дисплазия
I77.4,Синдром на притискане на целиачната артерия
I77.5,Некроза на артерия
I77.6,"Артериит, неуточнен"
I77.8,Други уточнени болести на артериите и артериолите
I77.9,"Болест на артериите и артериолите, неуточнена"
I78,Болести на капилярите
I78.0,Наследствена хеморагична телеангиектазия
I78.1,"Невус, ненеопластичен"
I78.8,Други болести на капилярите
I78.9,"Болест на капилярите, неуточнена"
I79*,"Увреждания на артериите, артериолите  и капилярите при болести,  класифицирани другаде"
I79.0,"Аневризма на аортата при болести, класифицирани другаде"
I79.1,"Аортит при болести, класифицирани другаде"
I79.2,"Периферна ангиопатия при болести, класифицирани другаде"
I79.8,"Други увреждания на артериите, артериолите и капилярите при болести, класифицирани другаде"
I80,Флебит и тромбофлебит
I80.0,Флебит и тромбофлебит на повърхностни съдове на долните крайници
I80.1,Флебит и тромбофлебит на феморална вена
I80.2,Флебит и тромбофлебит на други дълбоки съдове на долните крайници
I80.3,"Флебит и тромбофлебит на долните крайници, неуточнен"
I80.8,Флебит и тромбофлебит с друга локализация
I80.9,Флебит и тромбофлебит с неуточнена локализация
I81,Тромбоза на порталната вена
I82,Емболия и тромбоза на други вени
I82.0,Синдром на Budd-Chiari
I82.1,Мигриращ тромбофлебит
I82.2,Емболия и тромбоза на празна вена
I82.3,Емболия и тромбоза на бъбречна вена
I82.8,Емболия и тромбоза на други уточнени вени
I82.9,Емболия и тромбоза на неуточнена вена
I83,Варикозни вени на долните крайници
I83.0,Варикозни вени на долните крайници с язва
I83.1,Варикозни вени на долните крайници с възпаление
I83.2,Варикозни вени на долните крайници с язва и възпаление
I83.9,Варикозни вени на долните крайници без язва или възпаление
I84,Хемороиди
I84.0,Вътрешни тромбозирали хемороиди
I84.1,Вътрешни хемороиди с други усложнения
I84.2,Вътрешни хемороиди без усложнение
I84.3,Външни тромбозирали хемороиди
I84.4,Външни хемороиди с други усложнения
I84.5,Външни хемороиди без усложнение
I84.6,Остатъчни хемороидални кожни белези
I84.7,"Тромбозирали хемороиди, неуточнени"
I84.8,"Хемороиди с други усложнения, неуточнени"
I84.9,"Хемороиди без усложнение, неуточнени"
I85,Варици на хранопровода
I85.0,Варици на хранопровода с кървене
I85.9,Варици на хранопровода без кървене
I86,Варикозни вени с други локализации
I86.0,Подезични варици
I86.1,Варици на скротума
I86.2,Варици на таза
I86.3,Варици на вулвата
I86.4,Варици на стомаха
I86.8,Варикозни вени с неуточнени локализации
I87,Други увреждания на вените
I87.0,Постфлебитен синдром
I87.1,Притискане на вена
I87.2,Венозна инсуфициенция (хронична)(периферна)
I87.8,Други уточнени увреждания на вените
I87.9,"Венозно увреждане, неуточнено"
I88,Неспецифичен лимфаденит
I88.0,Неспецифичен мезентериален лимфаденит
I88.1,"Хроничен лимфаденит, с изключение на мезентериален"
I88.8,Други неспецифични лимфаденити
I88.9,"Неспецифичен лимфаденит, неуточнен"
I89,Други неинфекциозни болести  на лимфните съдове и лимфните възли
I89.0,"Лимфедем, некласифициран другаде"
I89.1,Лимфангит
I89.8,Други уточнени неинфекциозни болести на лимфните съдове и лимфните възли
I89.9,"Неинфекциозна болест на лимфните съдове и лимфните възли, неуточнена"
I95,Хипотония
I95.0,Идиопатична хипотония
I95.1,Ортостатична хипотония
I95.2,"Хипотония, дължаща се на лекарствени средства"
I95.8,Други видове хипотония
I95.9,"Хипотония, неуточнена"
I97,"Постпроцедурни болести на органите на кръвообращението, некласифицирани другаде"
I97.0,Посткардиотомен синдром
I97.1,Други функционални нарушения след сърдечна операция
I97.2,Синдром на лимфедем след мастектомия
I97.8,"Други следпроцедурни болести на органите на кръвообращението, некласифицирани другаде"
I97.9,"Следпроцедурни болести на органите на кръвообращението, неуточнени"
I98*,"Други болести на органите  на кръвообращението при болести,  класифицирани другаде"
I98.0,Сърдечно-съдов сифилис
I98.1,"Сърдечно-съдови болести при други инфекциозни и паразитни болести, класифицирани другаде"
I98.2,"Варици на хранопровода при болести, класифицирани другаде"
I98.8,"Други уточнени болести на органите на кръвообращението при болести, класифицирани другаде"
I99,Други и неуточнени болести на органите на кръвообращението
J00,Остър назофарингит [хрема]
J01,Остър синуит
J01.0,Остър максиларен синуит
J01.1,Остър фронтален синуит
J01.2,Остър етмоидален синуит
J01.3,Остър сфеноидален синуит
J01.4,Остър пансинуит
J01.8,Друг остър синуит
J01.9,"Остър синуит, неуточнен"
J02,Остър фарингит
J02.0,Стрептококов фарингит
J02.8,"Остър фарингит, предизвикан от други уточнени причинители"
J02.9,"Остър фарингит, неуточнен"
J03,Остър тонзилит (ангина)
J03.0,Стрептококов тонзилит
J03.8,"Остър тонзилит, предизвикан от други уточнени причинители"
J03.9,"Остър тонзилит, неуточнен"
J04,Остър ларингит и трахеит
J04.0,Остър ларингит
J04.1,Остър трахеит
J04.2,Остър ларинготрахеит
J05,Остър обструктивен ларингит [круп] и епиглотит
J05.0,Остър обструктивен ларингит [круп]
J05.1,Остър епиглотит
J06,Остри инфекции на горните дихателни пътища с множествена и неуточнена  локализация
J06.0,Остър ларингофарингит
J06.8,Други остри инфекции на горните дихателни пътища с множествена локализация
J06.9,"Остра инфекция на горните дихателни пътища, неуточнена"
J10,"Грип, предизвикан от идентифициран вирус на грипа"
J10.0,"Грип с пневмония, идентифициран грипен вирус"
J10.1,"Грип с други респираторни прояви, идентифициран грипен вирус"
J10.8,"Грип с други прояви, идентифициран грипен вирус"
J11,"Грип, неидентифициран вирус"
J11.0,"Грип с пневмония, неидентифициран вирус"
J11.1,"Грип с други респираторни прояви, неидентифициран вирус"
J11.8,"Грип с други прояви, неидентифициран вирус"
J12,"Вирусна пневмония, некласифицирана другаде"
J12.0,Аденовирусна пневмония
J12.1,"Пневмония, причинена от респираторно синцитиален вирус"
J12.2,"Пневмония, причинена от вируса на парагрипа"
J12.8,Друга вирусна пневмония
J12.9,"Вирусна пневмония, неуточнена"
J13,"Пневмония, причинена от Streptococcus pneumoniae"
J14,"Пневмония, причинена от Haemophilus influenzae"
J15,"Бактериална пневмония,  некласифицирана другаде"
J15.0,"Пневмония, причинена от Klebsiella pneumoniae"
J15.1,"Пневмония, причинена от Pseudomonas"
J15.2,"Пневмония, причинена от стафилокок"
J15.3,"Пневмония, причинена от стрептокок група В"
J15.4,"Пневмония, причинена от други стрептококи"
J15.5,"Пневмония, причинена от Escherichia coli"
J15.6,"Пневмония, причинена от други аеробни грам-отрицателни бактерии"
J15.7,"Пневмония, причинена от Mycoplasma pneumoniae"
J15.8,Други бактериални пневмонии
J15.9,"Бактериална пневмония, неуточнена"
J16,"Пневмония, причинена от други инфекциозни агенти, некласифицирана другаде"
J16.0,"Пневмония, причинена от хламидии"
J16.8,"Пневмония, причинена от други уточнени инфекциозни агенти"
J17*,"Пневмония при болести, класифицирани другаде"
J17.0,"Пневмония при бактериални болести, класифицирани другаде"
J17.1,"Пневмония при вирусни болести, класифицирани другаде"
J17.2,Пневмония при микози
J17.3,Пневмония при паразитни болести
J17.8,"Пневмония при други болести, класифицирани другаде"
J18,Пневмония без уточнен причинител
J18.0,"Бронхопневмония, неуточнена"
J18.1,"Лобарна пневмония, неуточнена"
J18.2,"Хипостатична пневмония, неуточнена"
J18.8,Друга пневмония с неуточнен причинител
J18.9,"Пневмония, неуточнена"
J20,Остър бронхит
J20.0,"Остър бронхит, причинен от Mycoplasma pneumoniae"
J20.1,"Остър бронхит, причинен от Haemophilus influenzae"
J20.2,"Остър бронхит, причинен от стрептокок"
J20.3,"Остър бронхит, причинен от коксаки-вирус"
J20.4,"Остър бронхит, причинен от парагрипен вирус"
J20.5,"Остър бронхит, причинен от респираторно-синцитиален вирус"
J20.6,"Остър бронхит, причинен от риновирус"
J20.7,"Остър бронхит, причинен от еховирус"
J20.8,"Остър бронхит, причинен от друг уточнен агент"
J20.9,"Остър бронхит, неуточнен"
J21,Остър бронхиолит
J21.0,"Остър бронхиолит, причинен от респираторно-синцитиален вирус"
J21.8,"Остър бронхиолит, причинен от друг уточнен агент"
J21.9,"Остър бронхиолит, неуточнен"
J22,"Остра респираторна инфекция на  долните дихателни пътища, неуточнена"
J30,Вазомоторен и алергичен ринит
J30.0,Вазомоторен ринит
J30.1,"Алергичен ринит, причинен от полени"
J30.2,Други сезонни алергични ринити
J30.3,Други алергични ринити
J30.4,"Алергичен ринит, неуточнен"
J31,"Хроничен ринит, назофарингит  и фарингит"
J31.0,Хроничен ринит
J31.1,Хроничен назофарингит
J31.2,Хроничен фарингит
J32,Хроничен синуит
J32.0,Хроничен максиларен синуит
J32.1,Хроничен фронтален синуит
J32.2,Хроничен етмоидален синуит
J32.3,Хроничен сфеноидален синуит
