A08,гастроентеропатия
I11,сърдечна недостатъчност iii фк
I11,сърдечна недостатъчност ii ф. к
I11,сърдечна недостатъчност ii фк. рсп
I11,сърдечна недостатъчност ii-iii фк
I11,сърдечна недостатъчност ii фк
I11,хроничнта сърдечна недостатъчност iii фк
I11,сърдечна недостатъчност ii-iiiст
I11,сърдечна недостатъчност-iii ф. к
I11,сърдечна недостатъчност - ІІІ ф. к
I11,сърдечна недостатъчност ІІ-фк
I11,сърдечна недостатъчност- ii фк
I11,хипертонична сърдечна болест ІІІ стадий
I11,сърдечна недостатъчност-ii-iiiфк
I11,хипертонична сърце
I15,реновазална хипертония
I24,триклонова коронарна болест
I24,двуклонова коронарна болест
I24,ибс- ритъмна форма
I24,ибс - - стенокардия стабиле
I24," ибс - пристъпно предсърдно мъждене, сърдечна недостатъчност ii фк "
I24," исхемична болест на сърцето, лбб "
I24,исхемична болест на сърцето стабилна ангина песторис ii фк
I24,исхемична болест на сърцето- състояние след миокарден инфаркт
I24,ибс ритъмна форма
I24,исхемична болест на сърцето- стабилна стенокардия
I24,ибс- стабилна стенокардия
I24,исхемична болест на сърцето
I24,ибс
I24,исхемична болест на сърцето-стабилна стенокардия
I24," исхемична болест на сърцето, състояние след акб х 4, протезиране на митрална клапа "
I24,исхемична болест на сърцето - състояние след миокарден инфаркт и стентиране
I24,ибс - проводна форма
I24," исхемична болест на сърцето, състояние след предносептален миокарден инфаркт, сърдечна недостатъчност ІІ фк, митрална регургитация ІІІ "
I24," исхемична болест на сърцето, състояние след преден и заден миокарден инфаркт с q-зъбец "
I31,адхезивен десностранен хроничен аднексит
I37,пулмонална хипертония
I42,дилатативна кардиомиопатия
I42,хипертрофична необструктивна кардиомиопатия
I42,хипертрофична кардиомиопатия
I44,аv блок І ст
I44,ляв бедрен блок
I45,десен бедрен блок
I47,камерна екстарасистолия
I47,камерна екстрасистолия
I47,камерна екстрасистолия ІІІ кл по лоун
I47,камерна екстрасистолия iv клас по лаун
I47,камерна и надкамерна екстрасистолия
I47,камерна екстрасистолия-бигеминия
I47,пристъпна надкамерна тахикардия
I47,надкамерна екстрасистолия
I47,надкамерна пароксизмална тахикардия
I47,надкамерни екстрасистолия
I47,пристъпна надкамерна тахиаритмия
I47,синусова тахикардия
I47,пристъпна тахикардия
I48,пристъпно пм
I48,пристъпно предсърдно мъждене
I48,пристъпно предсирдно мъждене
I48,хронично предсърдно мъждене
I48,хронично предсърдно трептене
I48,постоянно предсърдно мъждене
I48,предсърдно мъждене
I48,хронично предсърдно мъждене хзсн ІІІфк
I48,пристъпно предърдно мъждене
I48,хронично предсърдно ммъжддене
I48,хронично-рецидивиращо предсърдно мъждене
I48,пристъпно предсърдно трептене
I49,абсолютна аритмия при предсърдно мъждене
I49,аритмия абс при предсърдно мъждене
I49,абсолютна аритмия при хронично предсърдно мъждене
I49,абсолютна аритмия
I49,екстрасистолна аритмия
I49,аритмия абсолюта
I49,аритмия абсолюта при предсърдно мъждене
I49,екстрасистолия суправентрикуларис
I49,екстрасистилоия вентрукулорум ІІ клас по лоун
I49," аритмия абсолюта тао клас Xа, 3б, 2а-б-активна "
I49,екстрасистолия вентрикулорум
I49,екстрасистолия суправентрикулорум
I49,екстрасистолия
I49,пристъпна екстрасистолна аритмия
I49,екстрасистолна аритмия - суправентрикуларна екстрасистолия
I49,екстрасистолия вентрикуларис
I50,лявокамерна систолна дисфункция
I67,тромбоза на в
I80,тромбофлебит на лява подбедрица
I80,тромбофлебит
I80,тромбофлебит на двете подбедрици
I80,тромбоза на лява задна тибилиална артерия
I80,тромбозис хроника афс
I80,тромбоза на артерия феморалис декстра
I80,тромбофлебит на ляв крак
I80,тромбофлебит на долни крайници
I80,тромбофлебит на вена сафена магна синистра асценденс
I84,хемороиди
I84,хемороидална болест
I87,постфлебитен синдром на ляв долен крайник
I87,постфлебитен синдром
J01,остър синуит
J03,микроваскуларна ангина
J18,десностранна бронхопневмония
J32,хроничен сфеноидален синуит
J32,хроничен пансинуит
J32,хроничен синуит
J35,хроничен тонзилит
J41,хроничен бронхит
J41,бронхитис хроника
J41,бронхитис хроника
J47,бронхиектатична болест
J68,белодробен емфизем
J94,плеврални адхезии в дясно
J95,трахеостома / от 1995г/
K21,рефлукс-езофагит ii-iii ст
K21,гастродуоденална рефлуксна болест
K21,рефлуксезофагит iст
K21,рефлукс езофагит ст а
K21,рефлукс-езофагит
K21,рефлукс езофагит
K25,язва на стомаха
K25,язви на стомаха и дванадесетопръстника - в ремисия
K25,язва на стомаха - в ремисия
K25,язви на стомаха
K25,язва на стомаха- ремисия
K26,язва на дванадесетопръстника
K26,язва на дванадесетопръстника с пилорна стеноза
K26,язва на дванадесетопръстника - ремисия
K26,язва на дванадесетопръстника - в ремисия
K26,язва на дванадесетопръстика
K26,язви на стомаха и дванадесетопръстника - в ремисия
K26,язва на дванедесетопръстника
K26,язва на дванадесетопръстинка
K29,гастрит
K29,хроничен атрофичен гастрит
K29,атрофичен гастрит
K29,хроничен гастрит
K29,хроничен ерозивен гастрит
K29,хроничен ентероколит
K29,хроничен ерозивен и атрофичен гастрит
K29,хроничен гастрит н
K29,хроничен обострен гастрит
K29,улкус дуодени
K29,улкус дуодени-в ремисия
K29," улкус дуодени, рефлукс езофагит "
K29,улкус булби дуодени
K29,улкус булби дуодени
K29,гастродуоденитис хроника
K29,гастродуоденит
K29,гастродуоденитис хрон
K31,пилороспазъм
K40,умбиликална херния
K42,пъпна херния
K51,дебелочревна полипоза
K51,улцерозен колит
K71,холестаза
K73,хроничен хепатит
K73,хроничен хепатит?
K73,хроничен хепатит с
K75," порте /основен ствол и десен клон/, в "
K76,портална хипертония
K80,холелитиаза
K80,холелитиазис
K80,холилитиаза
K80,холелетиаза
K81,хроничен холецистит
K81,хроничен холециститит
K82,хидропс на жлъчния мехур
K86,хроничен панкреатит
K86,псевдокиста на панкреаса
K86,псевдокисти на панкреаса
L40,псориазис
L40,псиориазис
L40," псориазис, кожна форма "
L63,алопеция тоталис
L63,алопеция
L63,алопеця ареата
L63,алопеция ареата
L67,струмя нодоза еутиреоидес
L67,проптер струма нодоза базедовификата
L67,спргт проптер струма нодоза
L67,спргт пропер струма нодоза базедовификата
L67,sрrрgt пропер струма нодоза базедовификата
L68,хирзутизъм
L68,хирзутизъм - идиопатичен
L68,хирзутизъм- идиопатичен
L70,акне вулгарис
L71,розацея
L80,вителиго
L80,витилиго
L93,системен лупус еритематодес
L93,системен лупус еритематодес- субклинична форма и ра
L94,склеродермия
M05,ревматоиден артрит
M05,ревматоиден полиартрит
M05," ревматоиден артрит - хроничен, серопозитивен "
M06,серонегативен ревматоиден артрит
M16,коксарторизис декстра
M16,двустранна коксартроза
M16,коксартрозис билатералис
M16,двустранна коксартроза и гонартроза
M16,билатерална коксартроза
M16," двустранна коксартроза, гонартроза "
M16,коксартроза декстра
M16,двстранна коксартроза и гонартроза
M16,двустранна коксартроза с анкилоза на лява става
M17,гонартрозис билатералис
M43,спондилолистеза l4
M43,деформираща спондилартроза
M43,деформираща спондилоартроза
M46,ентезопатия
M48,фрактура на първи лумбален прешлен
M48,фрактура на втора метатарзална кост в ляво
M48,фрактура на тялото на първи лумбален прешлен І степен по дженант
M76,илиака синистра
M76,илиака
M80,остеопорозис постменопаузалис
M80,остеопорозис постменопаузалис - тежка по степен
M80,остеопорозис постменопаузалис- тежка по степен
M80,остепороза постменопаузална
M80,остеопорозис постменопаузалис гравис
M80," остеопороза- постменопаузална, глюкокортикоидна "
M80,остеопороза (постменопуазална и вторична)
M80,постеменопаузална остеопороза
M80,постеменопаузална остеопороза
M80,идиопатична остеопороза
M83,остеомалация
M85,фиброзна дисплазия
M99,дискова херния л5-s1
M99,дискова протруцзия л4-л5 и л5-с1
M99,дискова херния л4-л5
M99,дискова херния l4-l5
M99,дискова херния - състояние след операция
M99,дискова херния л5-с1
M99,дискови пролапси на л4-л5
M99,дискова протрузия л4-л5 и л5-с1
M99,дискова херния на ниво с6-с7
M99," дискова херния l4-l5, l5-s1 "
M99,дискова херния
M99," дискови хернии l4- l5, l5- s1 "
M99," дискова болестл 3 л4, л 5 с1 "
M99,дискова херния l5-s1
M99,дискова болест л4-л5
M99," дискова херния с4-с5, с5-с6 "
M99,дискови хернии л5 -л5 и л5-с1
M99,дискова херния на ниво с6-7 и радикулопатия на ниво с7
M99,дискова херния на 6-7 торакален прешлен
M99,дискова херния на ниво l4-l5
M99," дискова херния л4-5, л5-с1 "
N04,нефрозен синдром
N11,хроничен пиелонефрит
N11,пиелонефритис хроника
N11,пиелонефритис хроника калкулоза
N11,хроничен пелонефрит на десния бъбрек
N11,пиелонефритис хроника екзацербата
N11,пиелонефритис хр
N11,хроничен пиелонефрет
N11,пиелонефритис хроника калкулоза екзацербата
N11,хроничен персистиращ хепатит с
N11,пиелонефрит
N11,пиелонефритис хроника с чести екзацербации
N11,пиелонефриитс хроника калкулоза
N11,хроничен пиелонефрит на левия бъбрек
N11,хроничен пиелонефрит на ляв бъбрек
N11,аналгезийна тубуло-интерстициална нефропатия
N11,хроничен тубулоинтерстициален нефрит
N11,хроничен тубулоинтестициален нефрит
N11,хроничен тубуло-интерстициален нефрит
N11,хроничен тубулоинтерстициален нефрит- екзацербирал
N13,аналгетична нефропатия
N15,тубулоинтерстициално увреждане на бъбреците / при васкулит/
N25,инсипиден диабет
N25,инсипиден диабет (дипсогенна форма)
N25,инсипиден диабет-дипсогенна форма
N25,инсипиден диабет (централен)
N25,инсипиден диабет-психогенна полидипсия
N25,инсипиден диабет- дипсогенна форма
N25,инсипиден диабет- психогенна полидипсия
N25,инсипиден диабет /дипсогенен/
N25,централен инсипиден диабет
N25,инсипиден диабет /дипсогенна форма/
N25,инсипиден диабет /централен/
N25,нефрогенен инсипиден диабет
N25," инсипиден диабет /централен, парциален/ "
N25,инсипиден диабет (дипсогенен)
N25,неврогенен инсипиден диабет
N30,хроничен цистит
N40,хиперплазия на простатата
N41,хроничен простатит
N85,паратиреоиден аденом- неактивен
N85,паратиреоиден аденом
N91,аменорея секундариа
N95,климакс прекокс
N95,климакс
N95,климакс прекокс артериална хипертония Ігр
N99,адхезии плевре
O24,инсулинозависим захарен диабет с множествени усложнения-декомпенсиран
P71,постоперативна тетания
P71,рекалцификационна тетания
Q06,хипоплазия на лява вертебрална артерия
Q10,агенезия ренис декстра
Q40,хиатус херния
Q54,скротална хертия
Q61,киста на бъбрека
Q80,ихтиозис
Q85,неврофиброматоза
Q85,неврофиброматоза тип 1
Q96,синдром на търнър
Q96," синдром на търнер - 46, хх q- "
Q96,синдром на търнер
Q96,синдром на търнер 45 хо. ах ii
Q96,синдром на търнер ( частична монозомия х - 46хdеl(х)(р10)
R16,спленомегалия
R19,тазово- възпалителна болест
R19,тазоворезервоарни нарушения
R39,ренална остеодистрофия
S04,тригеминус
S74,феморалис
S74,феморалис синистра
S74,феморалис в дясно
T78,ангионевротичен едем
T78,полимедикаментозна алергия
T78,алергичен синуит
T78,алергия-
T78,полиалергия
T78,инсулинова алергия
T78,алергия неуточнена
T84,митрално клапно протезиране
A18,тбк пневмофиброза
B17,неалкохолен стеатозен хепатит
B18,хроничен вирусен хепатит
B35,онихомикоза
C22,чернодробни метастази
C50,карцином на дясна млечна жлеза
C53,карцином на маточната шийка
C73,папиларен карцином в левия тиреоиден лоб
C73,папиларен карцином на щитовидната жлеза
C73,карцином на десен лоб на щитовидната жлеза
C73,злокачествено новообразувание на щитовидната жлеза
C73,папиларен тиреоиден карцином
C73,папиларен карцином т1nомх
C73,папиларен инвазивен карцином на щитовидната жлеза
C73,папиларен микрокарцином
C74,карцином на лява надбъбречна жлеза
C75,вторична лезия/
C85,неходжкинов лимфом
D05,фиброаденом на лява млечна жлеза
D06,маточна миома
D06,миоматозна матка
D06,миопия
D06,миоматозен възел на матката
D06,миома утари
D06,миома утери
D06,миома на матката
D06,миома
D06,миоматозна матка дислипидемия
D06,миопия ексцесива дегенератива ок. утр
D13,чернодробни хемангиоми
D29,аденом на простатна жлеза
D29,адено на простатата
D29,аденом на простатата
D29,аденом на простата
D29,аденом на простатната жлеза
D30,тумор на ляв бъбрек
D30,утерус миоматозус
D30,утерус миоматозус
D30,утерус миоматоус
D35,аденом на дясна надбъбречна жлеза/
D35,аденом на лява надбъбречна жлеза
D35,феохромоцитома
D35,аденом на дясна надбъбречна жлеза
D35,феохромоцитом - състояние след екстирпация
D35,аденом на дясна надбъбречна жлеза? /обс
D35,двустранни аденоми на надбъбречните жлези
D35,феохромоцитом
D35,феохромоцитом на дясна надбъбречна жлеза
D35,аденом на лява надбъбречна жлеза- инциденталом
D35,аденом на лява надбъбречна жлеза- в състояние след ендоскопска адреналектомия
D35,аденоми на надбъбречните жлези
D35,аденом на дясна надбъбречна жлеза - инциденталом
D35,аденом на лява надбъбречна жлеза /феохромоцитом/
D35,аденом на дясна надбъбречна жлеза /инциденталом/
D35,аденом на лява надбъбречна жлеза /инциденталом/ състояние след ендоскопска операция на инциденталом на лява надбъбречна жлеза
D35,аденом на соnn на дясна надбъбречна жлеза
D35,феохромоцитом - аденом на лява надбъбречна жлеза
D35,аденом на надбъбречните жлези
D35,аденом на дясна надбъбречната жлеза
D35,аденом на надбъбречната жлеза
D35,двустранни аденоми на надбъбречните жлези-инциденталоми
D35,аденом на дясна надбъбречна жлеза / метастаза от светлоклетъчен бъбречноклетъчен карцином/
D35,аденом на лява надбъбречна жлеза /хормононескретиращ/
D35,аденом на лява надбъбречна жлеза /инциденталом/
D35,аденом на лява набъбречна жлеза
D35,аденом на лява надбъбречн жлеза
D35,феохромоцитома декстра
D35,аденом на лява надбъбречна жлеза /инциденталом/ артериална хипертония ІІІгр
D35,аденом на лява надбъбречна жлеза/ инциденталом/
D35,аденом на двете надбъбречни жлези
D35,аденом на лява надбъбречна жлеза - хормононесекретиращ
D35,аденом на лява надбъбречна жлеза ( хормононесекретиращ)
D35,феохромицитом
D35,аденом на лява надбъбречна жлеза /инциденталом/ състояние след ендоскопска операция на аденома
D35,аденом на дясна надбъбречна жлеза - хормононесекретиращ
D35,феохромоцитом на пикочния мехур
D35,тумор на лява надбъбречна жлеза
D35,аденом на дясна надбъбречна жлеза ( хормононесекретиращ)
D35,аденом на дясна надбъбречна жлеза (хормононесекретиращ)
D35,феохромоцитом- двустранен
D35,аденом на лявата надбъбречна жлеза
D35,аденом на лява надбъбречна жлеза - инциденталом
D35,аденоми на дясна надбъбречна жлеза
D35,аденом на лява надбъбречна жлеза (хормононесекретиращ)
D35," аденом на лява надбъбречна жлеза, аденом на кон "
D35,феохромоцитом- рецидив
D35,аденоми на двете надбъбречните жлези /инциденталоми/
D35," аденом на дясна надбъбречна жлеза, хормононесекретиращ "
D35,аденом на дясна надбъбречна жлеза- инциденталом
D35,тумор на дясна надбъбречна жлеза
D35,аденом на дясната надбъбречна жлеза / инциденталом/
D35,аденом на дясна долна паращитовидна жлеза
D35,аденом на дясна паратиреоидна жлеза
D35,аденом на лява и дясна парищитовидни жлези
D35,аденом на дясна паращитовидна жлеза
D35,аденом на лява паращитовидна жлеза
D35,аденом на долна дясна паращитовидна жлеза
D35,микроаденом на хипофизата
D35,аденома гландуле хипофизеос-хормононесекретиращ
D35,аденом на хипофизата- хормононесекретиращ
D35,микроаденом на хипофизата (инциденталом)
D35,аденом на хипофизата-хормононесекретиращ
D35,аденом на хипофизата
D35,аденом на хипофизата - несекретиращ микроаденом
D35,аденом на хипофизата /хормононесекретиращ/
D35," аденом на хипофизата - микроаденом, пролактином "
D35,аденом на хипофизата (инфудибулом)-хормононепродуциращ
D35,аденом на хипофизата - несекретиращ макроаденом
D35,макроаденом на хипофизата /хормононесекретиращ/
D35,макроаденом на хипофизата
D35,аденом на хипофизата - несекрегтиращ макроаденом
D35,аденома гландуле хипофизеос - пролактином
D35,хипофизарен аденом - хормоно-несекретиращ инциденталом
D35,аденома гландуле хипофизеос /хормононесекретиращ/
D35,хипофизарен аденом- тsh секретиращ
D35,микроаденом на хипофизата /инциденталом/
D35,аденом на хипофизата - хормононесекретиращ
D35,аденом на хипофизата - инциденталом
D35,аденом на хипофизата/инциденталом/
D35,аденом на хипофизата - състояние след та по повод мсх секретиращ аденом
D35,аденом на хипофизата -краниофарингеом
D35,аденом на хипофизата-хормононесекретираш
D35,аденом на хипофизата - пролактином
D35,аденома на хипофизата-пролактином
D35,аденом на хипофизата- хормононескретиращ
D35,аденом на хипофизата-инциденталом
D35,аденома гландуле хипофизеус
D35,хипофизен макроаденом - пролактином
D35,микроаденом на хипофизата-хормононесекретиращ
D35,микроаденом на хипофизата /хормононесекретращ/
D35,аденом на хипофизата- нефункциониращ
D35,хипофизарен аденом- тсх секретиращ
D35,микроаденом на хпофизата - инциденталом
D35," аденом на хипофизата - микроаденом, инциденталом "
D35,аденом на хипофизата -хормононесекретиращ
D35,микроаденома гл
D35,аденома на хипофизата - инциденталом
D35,аденом на хипофиза
D35,аденом на хипофизата - хормононесекретиращ микроаденом
D35,доброкачествено образувание на хипофизата /краниофарингеом/ - състояние след транскраниална операция
D35,аденом на хипофизата хипертонична болест
D35,микроаденом на хипофиза
D35,микроаденом на хипофизата / хормононесекретиращ/
D35,микроаденом на хипофизата /хормононесекретиращ/
D35,аденома гландуле хипофизеус /реактивен/ диабетес мелитус типус 2
D35,макроаденом на хипофизата - хормононесекретиращ
D35,аденом на хипофизата състояние след трансфеноидална аденомектомния тиреоидит на хашимото метаболитен синдром
D35,макроаденом на хипофизата хипопитуитаризъм хиперпролактинемия
D35,аденом на хипофизата- краниофарингеом
D35,аденом на хипофизата /инциденталом/
D35,аденом на хипофизата (хормононесекретиращ)
D35,аденом на хипофизата (хормононесекретиращ микроаденом)
D35,аденом на хипофизата състояние след трансфеноидална аденомектомния хипопитуитаризъм
D35," аденома гландуле хипофизеос, микроаденом, инциденталом "
D35,аденом на хипофизата ( хормононесекретиращ)
D35,аденома гландуле хипофизеос / соматопролактином/
D35,аденома гландуле хипофизеос /инциденталом/
D35,микроаденом на хипофизата /пролактином/
D35,аденом на хпипофизата
D35,аденом на хипофизата ( несекретиращ)
D35,аденом на хипофизата - микроаденом
D35,аденом на хипофизата /пролактином/
D35,доброкачествено образувание на хипофизата (супраселарна арахноидна киста)
D35,аденом на хпофизата
D35," макроаденом на хипофизата, хормононесекретиращ "
D35,аденом на хипофизата /хормононесекретиращ/ състояние след транссфеноидална аденомектомия по повод макроаденом
D35,аденома гландуле хипофизеос / пролактином/
D35,макроаденом на хипофизата - соматопролактином
D35,макроаденом на хипофизата - пролактином
D35," аденом на хипофизата, хормононесекретиращ (инциденталом) "
D35,аденом на хипофизата /макропролактином/
D35,аденома гландуле хипофизеос
D35,аденома гландуле хипофизеос / пролактином /
D35,аденом на хипофизата ( хормононесекретиращ) артериална хипертония gr. ii
D35,микроаденом на хипофизата / хормононесекретращ/
D35,аденом на хипофизата / инциденталом/
D35,аденом на хипофизата(хормононесекретиращ)
D35,хипофизен макроаденом
D35,аденом на хипофизата обс микропролактином
D35," аденом на хипофизата, хормононесекретиращ "
D35,аденом на хипофизата- пролактином
D35,аденом на хипофизата- инциденталом
D35,микроаденом на хипофизата - инциденталом
D35,микроаденом на хипофизата / инциденталом/
D35,микроаденом на хипофизата -пролактином
D35,микроаденом на хипофизата- инциденталом
D35," аденом на хипофизата, хормононесекретиращ, състояние след транссфеноидална аденомектомия "
D35,аденом на ляв лоб на щитовидната жлеза
D35,аденом на щитовидната жлеза
D35,аденом на левия дял на щитовидната жлеза
D35,аденом в ляв лоб на щитовидната жлеза
D36,аденом на десен надбъбрек
D36,аденом на ляв надбъбрек
D36,аденом на ляв надбъбрек (инциденталом)
D36,двустранни надбъбречни аденоми /инциденталоми/
D36,аденом на десен надбъбрек (соnn’s аdеnома)
D36,аденом на десен надбъбрек - инциденталом
D36,аденом на десния надбъбрек - инциденталом
D36,аденом на левия надбъбрек - инциденталом
D36,аденом на левия надбъбрек
D36,аденом на десен надбъбрек - хормононесекретиращ
D36,аденом на ляв надбъбрек /инциденталом/
D36,аденом на ляв надбъбрек- инциденталом
D36,двустранни надбъбречни аденоми
D36,аденом на надбъбрека
D36,аденом на десен надбъбрек - феохромоцитом
D36,аденом на ляв надбърек (хормононесекретиращ)
D36,аденом на ляв надбъбрек /хормононесекретиращ/
D36,аденом на десния надбъбрек
D36,аденоми на двата надбъбрека
D36,аденом на левия надбъбрек / инциденталом/ тиреоидит на хашимото
D36,аденом на десен надбъбрек /инциденталом/
D36," аденом на левия надбъбрек, хормононесекретиращ, инциденталом "
D36,аденом на надбъбрека- феохромоцитом
D36,аденоми на ляв надбъбрек/ първичен алдостеронизъм/
D36,аденом на левия надбъбрек / инциденталом/
D36,аденома гл
D36,аденома гландуле паратиреоидеа синистра супериор
D36,аденома гландуле паратиреоидее синистра супериор
D36,аденома гландуле супрареналис декстра - инциденталома
D36,аденома гландуле супрареналис декстра
D36,аденома гландуле паратир
D50,желязодефицитна анемия
D50,желязо-дефицитна анемия
D50,желязодефицитна анамия
D50,анемия-желязодефицитна
D50,желязо дефицитна анемия
D59,аиха
D59,автоимунна хемолитична анемия
D63,бъбречна анемия
D64,вторична анемия
D64,вторична анемия
D64,анемичен синдром с неясна генеза
D64,анемия фериприва
D64,анемичен синдром
D64,анемия секундария
D64,анемия сек
D64,симптоматична анемия
D64,пернициозна анемия
D64,анемия секундария- фериприва
D64,анемичен с-м
D64,макроцитна анемия
D64,Іб анемия фериприва
D64,анемия
D64,анемичен с- м
D64,макроцитна хиперхромна анемия
D64,лекостепенен анемичен с-м
D64," анемия (смесена), хипопротеинемия "
D64,микроцитна анемия
D64,вторичен анемичен синдром
D72,левкопения
D76,хистиоцитоза х
D82,тежък комбиниран имунен дефицит засягащ хуморалния и клетъчния имунитет
E01,струма дифуза гр. І
E01,струма дифуза гр
E01,струма дифуза гр 1а/ еутиреоидес
E01,струма дифуза І в ст
E01,струма дифуза І б
E01,струма дифуза гр. Іб
E01,струма дифуза- 1аст
E01,струма дифуза гр. i б
E01,струма дифуза гр i а
E01,струма дифуза І аст еутироидна
E01,струма дифуза І а ст
E01,струма дифуза І агр
E01,струма дифуза гр. І б
E01,струма дифуза гр. І а
E01,струма дифуза І агр еутироидна
E01,струма дифуза І а хипертония артериалис ІІІ гр. ибс
E01,струма дифуза І гр
E01,струма дифуза Іа
E01,струма дифуза гр. i
E01,струма дифуза І гр еутироидна
E01,струма дифуза 1б - еутиреоидно състояние
E01,струма дифуза Іб
E01,струма дифуза 1бст
E01,струма дифуза гр. ?а
E01,струма дифуза І б еутироидна
E01,струма дифуза гр. i а
E03,първичен хипотиреоидизъм
E03,първичен хирерпаратиреоидизъм
E03,първичен хипотиреоидизъм- медикаментозно компенсиран
E03," първичен хипотиреоидизъм, компенсиран "
E03," първичен (постоперативен) хипотиреоидизъм, компенсиран "
E03,първичен хипотиреоидизъм - медикаментозно некомпенсиран
E03,медикаментозно-индуциран хипотиреоидизъм
E03,амиодарон индуциран хипотиреоидизъм
E03,медикаментозно индуциран хипотиреоидизъм
E03,медикаментозно компенсиран хипотиреоидизъм
E03,амиодарон индуциран субклиничен хипертиреоидизъм
E03,вторичен хипотиреоидизъм
E03,хипотиреоидизмус постоператива
E03," хипотиреоидизъм след радиойодтерапия поради базедова болест с хронично-рецидивиращо протичане, лека форма "
E03,хипотиреоидизмус примариус
E03,хипотиреоидизъм постоператива
E03,хипотиреоидизмус компенсата
E03,хипотиреоидизъм
E03,хипотиреоидизмус постоператива статус пост тиреоидектомиам ет йод- терапиям проптер са гландуле тиреоидее
E03,хипотиреоидизъм постоперативен-компенсиран
E03,хипотиреоидизъм след радиойодтерапия/ по повод базедова болест с хронично-рецидивиращо протичане/- компенсирано състояние
E03,хипотиреоидизъм след радиойодтерапия поради хашитоксикоза
E03,хипотиреоидизмус постоператива компенсата
E03," хипотиреоидизъм след субтотална резекция на щитовидната жлеза по повод базедова болест, медикаментозно компенсиран "
E03,хипотиреоидизмус ет хипопаратиреоидизмус постоператива
E03,хипотиреоидизъм след радиойодтерапия поради хашитоксикозаq субкомпенсиран
E03,хипотиреоидизмус постоператива статус пост тиреоидектомиам ет йод- терапиям проптер са гландуле тиреоидае
E03,хипотиреоидизмус ет хипопаратираоидизмус постоператива
E03," хипотиреоидизъм след радиойодтерапия поради хашитоксикоза, субкомпенсирана "
E03,хипотиреоидизъм след радиойодлечение (10 миликюри февруари 2008 г
E03,хипотиреоидна фаза
E03," хипотиреоидизъм след радиойодтерапия поради хашитоксикоза, компенсиран "
E03,хипотиреоидизъм след радиойодтерапия/ по повод базедова болест с хронично-рецидивиращо протичане/- некомпенсирано състояние
E03,хипотиреоидизъм/
E03,хипотиреодизъм след резекция на щитовидната жлеза по повод папиларен карцином / компенсиран /
E03," хипотиреоидизъм след радиойодтерапия поради хашитоксикоза, субкомпенсиран "
E03," хипотиреоидизъм след радиойодлечение поради хашитоксикоза с хронично рецидивиращо протичане, компенсиран "
E03,хипотиреоидизмус- /постоператива ет пост йод 131 терапиам/
E03,хипотиреоидизъм - компенсиран
E03,хипотиреоидизмус- постоператива ет пострадиойодтерапиам
E03,хипотиреоидизъм след радиойодлечение
E03,хипотиреоидизмус /смесена генеза/
E03,хипотиреоидинзмус постоператива
E03,хипотиреоидизъм- постоперативен и пострадиойодление / про са гл. тир. /
E03,хипотиреоидизъм-декомпенсиран
E03,хипотиреоидизъм - медикаментозно компенсиран
E03,хипотиреоидизъм- медикаментозно компенсиран
E03,хипотиреоидизъм постоперативен
E03,хипотиреидизъм
E03,хипотиреоидизмус примариус /некомпенсиран/
E03,хипотиреоидизъм със смесена генеза- първичен и вторичен
E03,хипотиреоидизъм (некомпенсиран) след субтотална резекция на щитовидната жлеза и екстирпация на аденом на долна дясна паратиреоидна жлеза
E03,хипотиреоидизъм след радиойодтерапия по повод базедова болест с нодозна трансформация
E03,хипотиреоидизъм след радиойодлечение (7миликюри 2007 г
E03," хипотиреоидизъм след субтотална резекция на щитовидната жлеза по повод на базедова болест с нодозна трансформация, субкомпенсиран "
E03,хипотиреоидизъм след 131-йод лечение (6 миликюри) поради нодозна базедовифицирана струма
E03,хипотиреоидизъм - компенсиран след субтотална резекция на щитовидната жлеза и екстирпация на аденом на долна дясна паратиреоидна жлеза
