icd,Latin,Transliterated
H01,deformis palpebram oculi inflammatio,деформис палпебрам окули инфламмацио
C75,Cancer of Hydrastis,канцер оф хидрастис
C24,carcinoma ampullary,карцинома ампулари
Q93,Del (XVII) (q23.1q23.2),дел (ксвии) (к23.1к23.2)
Q93,"Monosomía 2p15 p16.1,","монозомíа 2п15 п16.1,"
Q92,16p13.3 duplicatione,16п13.3 дупликационе
Q61,XVI nephronophthisis,XVI нефронофтизис
H18,cornea Amyloidosis,корнеа амилоидозис
H18,cornea amyloidosis,корнеа амилоидозис
Q87,arteriae tortuositate,артерие тортуозитате
I77,arteriae tortuositate,артерие тортуозитате
C24,viarum biliarium Malignant cancer ligno,виарум билиариум малигнант канцер лигно
C75,Hydrastis Ulcus,хидрастис улкус
J62,Pneumoconiosis TALCUM,пнеумокониозис талкум
Q93,Deletionem musculus flexor 10Q,делеционем мускулус флекзор 10к
Q93,10Q Monosomía hallucis longus,10к монозомíа халуцис лонгус
Q93,Monosomía genus 13q14,монозомíа генус 13к14
Q93,Del (XVI) (p11.2p12.2),дел (ксви) (п11.2п12.2)
Q93,Monosomía 15q hallucis longus,монозомíа 15к халуцис лонгус
K29,erosivus gastropathy,ерозивус гастропати
G83,"efferented de re publica,","ефферентед де ре публика,"
N15,Mauritania Nephropathy,мауританиа нефропати
N25,Dent type II Morbus,дент типе II морбус
Q92,22q11.2 duplicatione,22к11.2 дупликационе
Q92,duplicatione 22q11.2,дупликационе 22к11.2
N36,inordinationem urethrae,инординационем уретре
C45,succingit illabi mesothelioma,сукцингит илаби мезотелиома
A18,urinaria tuberculous,уринариа туберкулоус
G30,V morbus Alzheimer,V морбус алцхеимер
G54,BRACCHIALIS plexopathy,бракхиалис плекзопати
C63,cancer genitalium masculinorum,канцер гениталиум маскулинорум
C60,cancer genitalium masculinorum,канцер гениталиум маскулинорум
I75,purpura pollicem syndrome,пурпура полицем синдроме
Q04,XII Labuschagne Domini High Definition,XII лабусхагне домини хигх дефиницион
Q04,I syndrome Schinzel,I синдроме схинцел
C03,Gum tumor malignum,гум тумор малигнум
C00,contectum cancer,контектум канцер
C81,Granuloma Hodgkin scriptor,гранулома ходгкин скриптор
C68,ratio cancer renum,рацио канцер ренум
C64,ratio cancer renum,рацио канцер ренум
C71,cancer de brainstem,канцер де браинстем
E20,AHO syndrome Ia-php,ахо синдроме иа-фп
C00,labrum cancer de inferioribus,лабрум канцер де инфериорибус
N89,vaginae Haarleukoplakie,вагине хаарлеукоплакие
D02,0 scaenam Lung Cancer,0 сцаенам лунг канцер
C00,Humana malignas tumor LABELLUM,хумана малигнас тумор лабелум
M94,n Costochondritis,н костохондритис
D15,"Thymoma, mixta genus","тимома, микста генус"
C37,"Thymoma, mixta genus","тимома, микста генус"
N64,pectus Fat necrosis,пектус фат некрозис
A75,Bacillus subtilis subsp Recrudescent,бацилус субтилис субсп рекрудесцент
G70,acquiritur myasthenia,акквиритур миастениа
A77,African ricinum Bacillus subtilis subsp,африкан рицинум бацилус субтилис субсп
A77,morbus Boutonneuse,морбус боутоннеузе
C06,ostium oris cancer,остиум орис канцер
J11,influenza infectio,инфлуенца инфекцио
G30,Alzheimer scriptor Morbus,алцхеимер скриптор морбус
G30,Clementia Alzheimers,клеменциа алцхеимерс
F02,Parkinson scriptor morbus,паркинзон скриптор морбус
G20,Parkinson scriptor morbus,паркинзон скриптор морбус
Q82,De syndrome A Barsy,де синдроме а барси
Q82,"ARCL2, classic genus","аркл2, классик генус"
Q82,De syndrome B Barsy,де синдроме б барси
M00,Arthritis bacterial,артритис бактериал
G11,I Friedreich ataxia,I фриедреих атакзиа
G11,Friedreich scriptor ataxia,фриедреих скриптор атакзиа
D26,Tumor ex Cervus,тумор екс цервус
L63,pilorum varius,пилорум вариус
G71,"MYOPATHY, distalis, III","миопати, дисталис, III"
N84,alioqui brutum habeatur in Utero,алиокви брутум хабеатур ин утеро
K29,bibitor Gastritis,бибитор гастритис
D04,Tempus cutis cancer 0,темпус кутис канцер 0
D04,0 scaenam Cutis Cancer,0 сцаенам кутис канцер
G56,medianus vitio id experiundum,медианус вицио id експериундум
L43,lichenas ruber planus,лихенас рубер планус
Q82,Clouston scriptor syndrome,клоустон скриптор синдроме
Q85,I Neurofibromatosis,I неурофиброматозис
E72,defectus Arginase,дефектус аргиназе
N48,penis fibromatosis,пенис фиброматозис
F99,mentis morbum,ментис морбум
F00,mentis morbum,ментис морбум
C95,"LEUKAEMIA, LAEVUS","леукемиа, левус"
C49,Herpesvirus hominis Epithelioid,херпесвирус хоминис епителиоид
B37,Aspergillus OESOPHAGITIS,аспергилус езофагитис
H91,perceptivo illo surditas,перцептиво ило сурдитас
H90,perceptivo illo surditas,перцептиво ило сурдитас
K04,pulpitis (inordinatio),пулпитис (инординацио)
A80,poliomyelitis anguli,полиомиелитис ангули
A80,infantiles nervorum resolutiones,инфантилес нерворум резолуционес
D72,"Inordinationem, Leucocito","инординационем, леукоцито"
P37,neonatales moniliasis,неонаталес монилиазис
A18,Lienis tuberculosis;,лиенис туберкулозис;
J32,longis ethmoiditis,лонгис етмоидитис
G30,II Alzheimer Disease,II алцхеимер дизеазе
G30,Alzheimer morbus-II,алцхеимер морбус-ии
G30,VIII morbus Alzheimer,VIII морбус алцхеимер
G30,VI morbus Alzheimer,VI морбус алцхеимер
G30,VII morbus Alzheimer,VII морбус алцхеимер
N18,morbus seu inordinationem,морбус сеу инординационем
E05,GUTTER Exophthalmic,гуттер екзофталмик
C96,Stewart de granuloma intracraniale,стеварт де гранулома интракраниале
J16,peripleumonicis salmonella enteritidis,периплеумоницис салмонела ентеритидис
Q61,Multicystic renibus,мултицистик ренибус
K70,Pingue iecoris morbus,пингве иекорис морбус
J82,Loeffler scriptor syndrome,леффлер скриптор синдроме
Q87,Ut cognoscamus syndrome tonsorem,ут когноскамус синдроме тонзорем
Q87,"SYNDROME TONSOR, qui absurda canunt;","синдроме тонзор, кви абсурда канунт;"
A 8,virales morbo Rocio,виралес морбо роцио
F48,reciprocus exanimationes incidamus,реципрокус екзанимационес инцидамус
F48,neurotic exanimationes incidamus,неуротик екзанимационес инцидамус
F34,reciprocus exanimationes incidamus,реципрокус екзанимационес инцидамус
B35,imperium romanum dermatophytosis,империум романум дерматофитозис
K70,bibitor Cirrhosis,бибитор циррозис
K70,Laennec CIRRHOSIS est scriptor,леннек циррозис ест скриптор
A30,leprosy Lepromatous,лепроси лепроматоус
B37,Candidiasis in cute,кандидиазис ин куте
Q87,Oswald Cockayne scriptor syndrome,освалд коккаине скриптор синдроме
J04,arteriam mucosaitis,артериам мукозаитис
E03,glandulae underactive,гландуле ундерактиве
K14,Glossitis Hunter scriptor,глосситис хунтер скриптор
D47,Malus tumore cellulis,малус туморе целулис
H16,his patere Strumous,хис патере струмоус
C23,felle vesicae cancer,феле везицае канцер
J67,"cortex tracto, 'pulmonem","кортекс тракто, 'пулмонем"
K29,Probatorem MÃ © nÃ © Morbus,пробаторем мã © нã © морбус
K29,Menetrier scriptor Morbus,менетриер скриптор морбус
C95,Derivantur cellula leukemia,деривантур целула леукемиа
B37,genitalia candidiasis,гениталиа кандидиазис
B37,Candidiasis corporis fabrica,кандидиазис корпорис фабрика
N15,Gitelman scriptor syndrome,гителман скриптор синдроме
N96,"Aborter - recurrentes,","абортер - рекуррентес,"
C71,diffuse Glioblastoma,диффузе глиобластома
C22,Pueritia-impetu HCC,пуерициа-импету хкк
H74,ex media auris expetentibus ordorem,екс медиа аурис експетентибус ордорем
K86,morbus pancreatis,морбус панкреатис
K86,pancreatic cancer inordinatio,панкреатик канцер инординацио
E21,morbus parathyroid,морбус паратироид
E75,"Cln5 morbo, adulta","клн5 морбо, адулта"
H53,Dilatabitur cæcus macula,дилатабитур кæкус макула
C75,arteria corporis cancer,артериа корпорис канцер
F33,orci exanimationes incidamus,орци екзанимационес инцидамус
F33,unipolar exanimationes incidamus,униполар екзанимационес инцидамус
F32,orci exanimationes incidamus,орци екзанимационес инцидамус
F32,unipolar exanimationes incidamus,униполар екзанимационес инцидамус
A30,leprosy Tuberculoid,лепроси туберкулоид
N49,SPERMATICUS vesiculitis,сперматикус везикулитис
N49,"vesicleitis semine,","везиклеитис семине,"
I88,plexus me- sentericos ADENITIS,плекзус ме- сентерикос аденитис
D53,Norwegian MGA1 genus,норвегиан мга1 генус
C75,cancer glandula pinealis:,канцер гландула пинеалис:
C75,Regio Tumour in peluis cauo,регио тумоур ин пелуис кауо
F64,genus incongruence,генус инконгруенце
K05,Parodontopatía,пародонтопатíа
M72,Faciitis - nodular,фациитис - нодулар
K04,calcifications pulpam,калцификационс пулпам
A69,Oro-cancer serpit facialis,оро-канцер серпит фациалис
F44,somatoform inordinatio,соматоформ инординацио
I10,"'Tacere ad interfectorem ""","'тацере ад интерфекторем """
I10,princeps sanguinem pressura,принцепс сангвинем прессура
I15,"'Tacere ad interfectorem ""","'тацере ад интерфекторем """
I15,princeps sanguinem pressura,принцепс сангвинем прессура
M12,Jaccoud Arthropathia,йаккоуд артропатиа
A35,tETANUS clostridial,тетанус клостридиал
A34,tETANUS clostridial,тетанус клостридиал
A33,tETANUS clostridial,тетанус клостридиал
K62,anorectal districtione,аноректал дистрикционе
B76,Thelaziasis infectiones,телациазис инфекционес
T78,OEDEMA angioneurotic,едема ангионеуротик
G11,SPASTICUS gressus type II,спастикус грессус типе II
D47,"Leukemia, quae fluxa","леукемиа, кве флукза"
D72,"Leukemia, quae fluxa","леукемиа, кве флукза"
Q90,XXI syndrome Trisomía,XXI синдроме тризомíа
C55,"Vteri cancer, NOS","втери канцер, нос"
N13,neue impediant vesica,неуе импедиант везика
H30,retinae inflammatione,ретине инфламмационе
M72,Flexor fasciopathy,флекзор фасциопати
M45,Bechterew morbus est scriptor,бехтерев морбус ест скриптор
M45,Bekhterev morbus est scriptor,бекхтерев морбус ест скриптор
M75,STYPTICUS Capsulitis,стиптикус капсулитис
E83,morbus ferroportin,морбус ферропортин
Q87,"Birk, Barel Domini High Definition","бирк, барел домини хигх дефиницион"
H53,S pyramidis monochromacy,с пирамидис монохромаци
E72,Morbi Cobalamin F,морби кобаламин ф
G47,nocturnus myoclonus,ноктурнус миоклонус
E16,n hyperinsulinism,н хиперинзулинисм
L50,tremulum sollicitari URTICARIA,тремулум солицитари уртикариа
C76,"CHORDOMA, LAEVUS","хордома, левус"
C58,carcinoma chorionic,карцинома хорионик
A00,morbis infectiosis,морбис инфекциозис
A00,contagióne,контагиóне
A22,CARBO respiratoriorum,карбо респираториорум
B34,Silva Barmah febricitantem,силва бармах фебрицитантем
M06,Tamen morbus adultus,тамен морбус адултус
A75,Tsutsugamushi febricitantem,тсутсугамусхи фебрицитантем
G03,meninge deuehuntur inflammatione,менинге деуехунтур инфламмационе
G50,Herpesvirus Trifacial,херпесвирус трифациал
G40,photogenic comitialibus,фотогеник комициалибус
I63,cerebri INFARCTUS,церебри инфарктус
I45,X Long QT syndrome,X лонг кт синдроме
I45,XI Long QT syndrome,XI лонг кт синдроме
I45,Long QT syndrome XII,лонг кт синдроме XII
I45,Long QT syndrome XIII,лонг кт синдроме XIII
I45,XIV Long QT syndrome,XIV лонг кт синдроме
I45,XV Long QT syndrome,XV лонг кт синдроме
K03,generativus exesa,генеративус екзеза
J63,pulmonis siderosis,пулмонис сидерозис
A58,granuloma intracraniale inguinale,гранулома интракраниале ингвинале
E21,Hyperparathyreoidismus,хиперпаратиреоидизмус
H44,vitiatam myopia,вициатам миопиа
Q87,"Graham syndrome Orff,","грахам синдроме орфф,"
E23,I Kallmann Domini High Definition,I калманн домини хигх дефиницион
C16,Fundus vesicae ca - ventris,фундус везицае ка - вентрис
I40,MYOCARDITIS Fiedler,миокардитис фиедлер
A85,de morbo Economo,де морбо економо
P61,modo geniti futuram usque,модо генити футурам ускве
K59,eget ventris,егет вентрис
H27,Subluxation de lens,сублукзацион де ленс
Q87,Hallermann Domini High Definition,халерманн домини хигх дефиницион
Q13,Oculi Coloboma,окули колобома
Q82,FLOS hominis; BLM,флос хоминис; блм
Q79,"ED, progeroid genus","ед, прогероид генус"
C52,Carcinoma in naturale eius debent,карцинома ин натурале еиус дебент
C52,"Labium cancer, NOS","лабиум канцер, нос"
D81,defectus CD3gamma,дефектус кд3гамма
D81,XVII Deficientia immunalis,XVII дефициенциа иммуналис
C88,Alpha morbo torque,алфа морбо торкве
C88,Seligmann morbus est scriptor,селигманн морбус ест скриптор
Q77,Semd Missouri Type,семд миссоури типе
G71,V NEMALINE MYOPATHY,V немалине миопати
C22,Lupus Carcinoma embryonal,лупус карцинома ембрионал
C71,Lupus Carcinoma embryonal,лупус карцинома ембрионал
Q89,Laterality sequentia,латералити секвенциа
M27,teruntur paleae in exostosis,терунтур палее ин екзостозис
D68,Rosenthal morbus est scriptor,розентал морбус ест скриптор
E74,Glicogenosis type II,гликогенозис типе II
Q66,congenita clubfoot,конгенита клубфоот
H47,Leber opticus ATROPHIA,лебер оптикус атрофиа
H35,I morbis Stargardt,I морбис старгардт
K64,prope anum thrombosis,пропе анум тромбозис
K14,lingua inflammatione,лингва инфламмационе
E74,VII Glicogenosis genus,VII гликогенозис генус
E71,Glutaric Acidemia II,глутарик ацидемиа II
E71,Glutaric Aciduria II,глутарик ацидуриа II
E23,IV syndrome Kallmann,IV синдроме калманн
E23,V syndrome Kallmann,V синдроме калманн
E23,VI syndrome Kallmann,VI синдроме калманн
E23,primum dwarfism,примум дварфисм
G31,Dementia praecox Lewy ENIM CORPUS,деменциа прекокс леви еним корпус
H18,Phoenix est scriptor syndrome,феникс ест скриптор синдроме
E78,"Hyperlipemia, Paperback","хиперлипемиа, папербакк"
E23,Froelich scriptor syndrome,фрелих скриптор синдроме
E23,Frohlich scriptor syndrome,фрохлих скриптор синдроме
H53,rufus color caecitas,руфус колор цаецитас
A15,Mycobacterium tuberculosis hisce compactus larynx,микобактериум туберкулозис хисце компактус ларинкс
D68,status prothrombotic,статус протромботик
L75,morbus vulpes Fordyce,морбус вулпес фордице
M89,hypertrophy de Os,хипертрофи де ос
H20,Hypopyon (inordinatio),хипопион (инординацио)
C71,"ETMR, C19MC Altered,","етмр, к19мк алтеред,"
Q82,"Portus vinum, ingenuum","портус винум, ингенуум"
D24,pectus Fibroadenoma,пектус фиброаденома
F11,opioid usum inordinationem,опиоид усум инординационем
J35,longis adenoiditis,лонгис аденоидитис
M42,morbus Scheuermann,морбус схеуерманн
G90,Multisystem ATROPHIA,мултисистем атрофиа
G56,R vitio id experiundum,р вицио id експериундум
C18,Descendens vas colonia ca.,десценденс вас колониа ка.
B35,Marasmiaceae si lepra aspergatur,маразмиацее си лепра аспергатур
P24,meconium aspiratio,мекониум аспирацио
P24,Meconium Inspiratione,мекониум инспирационе
G51,Melkersson Domini High Definition,мелкерссон домини хигх дефиницион
Q93,Monosomía genus 22q13,монозомíа генус 22к13
B34,N virales infectio,н виралес инфекцио
A94,N virales infectio,н виралес инфекцио
M48,Baastrup scriptor syndrome,бааструп скриптор синдроме
E74,VI Glicogenosis genus,VI гликогенозис генус
D47,Castleman scriptor Morbus,кастлеман скриптор морбус
C60,CA penis (inordinatio),ка пенис (инординацио)
N76,mammalium vulvaitis,маммалиум вулваитис
N76,Vulvitis (inordinatio),вулвитис (инординацио)
Q85,Peutz Jeghers expetentibus ordorem,пеутц йегхерс експетентибус ордорем
D18,benignae lymphangioma,бенигне лимфангиома
L75,"Fox, Fordyce morbus","фокс, фордице морбус"
I77,racemosae hemangioma,рацемозе хемангиома
M31,morbus Moschcowitz,морбус мосхковитц
L74,Baillarger Domini High Definition,баиларгер домини хигх дефиницион
E80,ramus cutaneus porphyria,рамус кутанеус порфириа
C65,pclvis cancer,пклвис канцер
N80,vteri adenomyosis,втери аденомиозис
N44,Testis torsionis purgatarum,тестис торзионис пургатарум
K59,Dilatatio colonia,дилатацио колониа
D75,Sanguis n dyscrasia,сангвис н дискразиа
C84,granuloma intracraniale fungoides,гранулома интракраниале фунгоидес
A43,Mycobacterium tuberculosis,микобактериум туберкулозис
L41,digitata Dermatosis,дигитата дерматозис
H65,"Mucosa, otitis media","мукоза, отитис медиа"
H65,serosum vehentem otitis media,серосум вехентем отитис медиа
B36,microsporosis nigra;,микроспорозис нигра;
R91,Coin laesione pulmonis;,коин лезионе пулмонис;
E78,Dyslipidemia type III,дислипидемиа типе III
Q77,Smed Strudwick genus,змед струдвикк генус
E72,Ego glutaric acidemia,его глутарик ацидемиа
E72,I glutaric aciduria,I глутарик ацидуриа
Q87,VACTERL consociatio,вактерл конзоциацио
Q78,Os morbo pictura decorabat,ос морбо пиктура декорабат
E79,Artium hominis; artium,арциум хоминис; арциум
F48,conversionem inordinatio,конверзионем инординацио
F44,conversionem inordinatio,конверзионем инординацио
Q87,vt vrinae ductus cornu syndrome,вт врине дуктус корну синдроме
H44,Utrum Fortuitus Uveitis,утрум фортуитус увеитис
H83,Neuritis vestibulares,неуритис вестибуларес
M46,discitis (inordinatio),дисцитис (инординацио)
E78,Lipase D Deficit,липазе D дефицит
K90,Cæcus loop syndrome,кæкус лооп синдроме
Q82,Iuvenalibus hemangioma,иувеналибус хемангиома
R73,in confinio diabete,ин конфинио диабете
C79,"Glioblastoma, benignum","глиобластома, бенигнум"
C79,Et gradu Glioblastoma,ет граду глиобластома
C71,"Glioblastoma, benignum","глиобластома, бенигнум"
C71,Et gradu Glioblastoma,ет граду глиобластома
F32,atypical exanimationes incidamus,атипикал екзанимационес инцидамус
G03,tentorium materitis,тенториум материтис
A81,De morbo Bogaert,де морбо богерт
J67,foecundusque avis in pulmonem,фекундускве авис ин пулмонем
J67,More daynte avis de pathologica pulmonis:,море даинте авис де патологика пулмонис:
J67,Avis-Breeder de pathologica pulmonis:,авис-бреедер де патологика пулмонис:
J67,"Avium more daynte in pulmonem,","авиум море даинте ин пулмонем,"
J67,"Fanciers avem, 'pulmonem","фанциерс авем, 'пулмонем"
H18,Linked Keratopathy,линкед кератопати
E88,defectus Fumarase,дефектус фумаразе
K22,esophageal inordinatio,езофагеал инординацио
C63,Neoplasma malignum scroto,неоплазма малигнум скрото
C16,Cardiaca ca - ventris,кардиака ка - вентрис
J32,posterior sinusitis,постериор синузитис
F09,Memoria perturbationes,мемориа пертурбационес
H50,internum Strabismus,интернум страбизмус
C20,Carcinoma recti,карцинома ректи
E76,Sanfilippo Domini High Definition,санфилиппо домини хигх дефиницион
D57,"Falcem cell morbo,","фалцем цел морбо,"
N17,acutus renibus injuriam,акутус ренибус инйуриам
G71,congenita myopathy,конгенита миопати
J43,pulmonis EMPHYSEMA,пулмонис емфисема
D69,"hemorrhagic morbo,","хеморрагик морбо,"
N19,renum insufficientiam,ренум инзуффициенциам
A93,Tick ??Colorado febricitantem,тикк ??колорадо фебрицитантем
A28,scabere-cat morbus,скабере-кат морбус
C91,pilosus sit cellula leukemia,пилосус сит целула леукемиа
Q89,dextrum heterotaxy,декструм хетеротакси
M35,SjÃ¶gren scriptor syndrome,сйã¶грен скриптор синдроме
H40,aperta angulus GLAUCOMA,аперта ангулус глаукома
K56,eanalis intestii f volvulus,еаналис интестии ф волвулус
J98,"respiratoriorum morbo,","респираториорум морбо,"
J96,"respiratoriorum morbo,","респираториорум морбо,"
L95,Livedovaskulitis,ливедоваскулитис
K70,bibitor Hepatitis,бибитор хепатитис
I21,thrombosis arteriae coronariae sinistrae,тромбозис артерие коронарие синистре
I22,thrombosis arteriae coronariae sinistrae,тромбозис артерие коронарие синистре
E75,"Nasu Hakola morbo,","насу хакола морбо,"
E71,morbus peroxisomal,морбус перокзизомал
C88,gravibus morbo torque,гравибус морбо торкве
H15,ligamentum scleritis,лигаментум склеритис
H15,staphyloma postico,стафилома постико
L74,in sudore glandulae morbus,ин судоре гландуле морбус
C51,imas oras cancer ad iurisprudentiam expectantia,имас орас канцер ад иуриспруденциам експектанциа
G52,Nervus accessorius morbus,нервус акцессориус морбус
M73,menopausal bursitis,менопаузал бурзитис
A54,menopausal bursitis,менопаузал бурзитис
E73,lactose intolerantia nixum,лактозе интолеранциа никзум
N77,vulvae salubre est ulceri alto,вулве салубре ест улцери алто
N76,vulvae salubre est ulceri alto,вулве салубре ест улцери алто
H43,ipsi utcumque neglegere vitrum perlucidum,ипси уткумкве неглегере витрум перлуцидум
L50,tremulum sollicitari uRTICARIA,тремулум солицитари уртикариа
M12,arthritis transient,артритис транзиент
D68,V elementum defectus,V елементум дефектус
Q87,"Opitz GBBB syndrome,","опитц гббб синдроме,"
N42,ATROPHIA prostate,атрофиа простате
C45,benignae mesothelioma,бенигне мезотелиома
H50,LIMUS intermittendi,лимус интермиттенди
E28,Praesent ovarii,презент оварии
L72,"Turris syndrome Muir,","туррис синдроме муир,"
J96,defectum respiratoriorum,дефектум респираториорум
Q80,X coniunctum Ichthyosis,X кониунктум ихтиозис
F12,cannabis dependentiam,каннабис депенденциам
Q80,vulgaris Ichthyosis,вулгарис ихтиозис
J15,peripleumonicis bacterialibus,периплеумоницис бактериалибус
E28,immatura menopause,имматура менопаузе
C69,cancer corporis ciliaris,канцер корпорис цилиарис
D75,polycythemia accentus,полицитемиа акцентус
F31,II bipolar inordinatio,II биполар инординацио
N70,longos salpingitis,лонгос салпингитис
C75,carcinoma pituitam,карцинома питуитам
C69,conjunctivae cancer,конйунктиве канцер
Q61,XVI nephronophthisis,XVI нефронофтизис
K22,Barrett scriptor gulam,барретт скриптор гулам
H04,canaliculitis anguli,каналикулитис ангули
G30,V morbus Alzheimer,V морбус алцхеимер
C81,Granuloma intracraniale Hodgkin scriptor,гранулома интракраниале ходгкин скриптор
C75,arteria corporis cancer,артериа корпорис канцер
I26,acutus cor pulmonale,акутус кор пулмонале
H01,XERODERMA palpebrae,кзеродерма палпебре
F81,cognita vitium,когнита вициум
G30,"Alzheimer scriptor morbo,","алцхеимер скриптор морбо,"
K29,bibitor GASTRITIS,бибитор гастритис
C06,causa cancer tunicae mucosae,кауза канцер туницае мукозе
K03,externi resorption,екстерни резорпцион
F45,somatoform inordinatio,соматоформ инординацио
K82,bilis morbus,билис морбус
H31,duros nequeunt movere lumbos choroideae,дурос неквеунт мовере лумбос хороидее
H40,in confinio GLAUCOMA,ин конфинио глаукома
J32,longis ethmoiditis,лонгис етмоидитис
G30,II morbus Alzheimer,II морбус алцхеимер
G30,VIII morbus Alzheimer,VIII морбус алцхеимер
G30,VI morbus Alzheimer,VI морбус алцхеимер
G30,VII morbus Alzheimer,VII морбус алцхеимер
J16,peripleumonicis salmonella enteritidis,периплеумоницис салмонела ентеритидис
K70,pingue iecoris morbus,пингве иекорис морбус
Q87,"Tonsorem, ut cognoscamus syndrome","тонзорем, ут когноскамус синдроме"
B36,mycosis superficialis,микозис суперфициалис
N87,DYSPLASIA cervicis,дисплазиа цервицис
A30,leprosy lepromatous,лепроси лепроматоус
C44,Ulcus Cruris Mixtum carcinoma,улкус крурис микстум карцинома
H52,PROMPTUS vexatum nervorum distentio,промптус векзатум нерворум дистенцио
C71,lascivae orationis astrocytoma,ласциве орационис астроцитома
A30,leprosy tuberculoid,лепроси туберкулоид
N81,prolapsis iter urinae debet,пролапсис итер урине дебет
K05,"periodontal morbo,","периодонтал морбо,"
F44,conversionem inordinatio,конверзионем инординацио
Q21,Fallot est tetralogy,фалот ест тетралоги
H40,oculi hypertension,окули хипертензион
Q21,cor septal defect,кор септал дефект
Q87,"Birk Barel syndrome,","бирк барел синдроме,"
F17,consectetuer dependentia,конзектетуер депенденциа
G95,vascularium myelopathy,васкулариум миелопати
A05,eanalis intestii f botulism,еаналис интестии ф ботулисм
A98,Ebola morbo virum,ебола морбо вирум
I63,cerebri INFARCTUS,церебри инфарктус
I45,X QT quad diu syndrome,X кт квад диу синдроме
I45,XI QT quad diu syndrome,XI кт квад диу синдроме
I45,QT quad diu XII syndrome,кт квад диу XII синдроме
I45,XIII QT quad diu syndrome,XIII кт квад диу синдроме
I45,XIV QT quad diu syndrome,XIV кт квад диу синдроме
I45,XV QT quad diu syndrome,XV кт квад диу синдроме
C30,cavitatis nasi cancer,кавитатис нази канцер
K28,gastrojejunal ulceris,гастройейунал улцерис
N70,"oophoritis, Pyophlebitis","оофоритис, пиофлебитис"
A58,granuloma intracraniale inguinale,гранулома интракраниале ингвинале
E21,Hyperparathyreoidismus,хиперпаратиреоидизмус
H52,iusto astigmatism,иусто астигматисм
C67,collum vesicae cancer,колум везицае канцер
C67,vesicae cancer Dome,везицае канцер доме
H44,perniciosiores myopia,пернициозиорес миопиа
G24,XIII torsionis purgatarum dystonia,XIII торзионис пургатарум дистониа
H05,facies orbitalis PERIOSTITIS,фациес орбиталис периоститис
P61,modo geniti futuram usque,модо генити футурам ускве
K59,ad munus alvum,ад мунус алвум
D81,defectus CD3gamma,дефектус кд3гамма
C88,Alpha morbo torque,алфа морбо торкве
G71,V nemaline myopathy,V немалине миопати
C22,carcinoma embryonal,карцинома ембрионал
C71,carcinoma embryonal,карцинома ембрионал
G24,XVII torsionis purgatarum dystonia,XVII торзионис пургатарум дистониа
P83,infans Gynecomastia,инфанс гинекомастиа
E72,urea inordinatio exolvuntur,уреа инординацио екзолвунтур
G56,r vitio id experiundum,р вицио id експериундум
D68,acquiritur hemophilia,акквиритур хемофилиа
L75,"Fox, Fordyce morbus","фокс, фордице морбус"
D24,pectus fibroadenoma,пектус фиброаденома
L24,musculus irritamentum,мускулус ирритаментум
M48,Baastrup scriptor syndrome,бааструп скриптор синдроме
D47,Castleman morbus est scriptor,кастлеман морбус ест скриптор
I49,aegrum sinu syndrome,егрум сину синдроме
Q87,VACTERL consociatio,вактерл конзоциацио
K06,gingival situ vasta,гингивал ситу васта
G95,"medulla spinalis morbo,","медула спиналис морбо,"
K90,cæcus loop syndrome,кæкус лооп синдроме
R73,Glucosum intolerantia nixum,глукосум интолеранциа никзум
F68,factitiis nescio inordinatio,фактициис несцио инординацио
J67,more daynte avis in pulmonem,море даинте авис ин пулмонем
E88,defectus Fumarase,дефектус фумаразе
K76,hypertension portal,хипертензион портал
F22,delusional inordinatio,делузионал инординацио
M75,lipocalcinogranulomatosi tendinitis,липокалциногрануломатози тендинитис
M65,lipocalcinogranulomatosi tendinitis,липокалциногрануломатози тендинитис
K52,Liliaceae Lilium colitis,лилиацее лилиум колитис
A50,sYPHILIS congenita,сифилис конгенита
A92,O'nyong'nyong febricitantem,о'нионг'нионг фебрицитантем
B50,Plasmodium dysenteria vexatum iacere,плазмодиум дисентериа векзатум иацере
A07,Plasmodium dysenteria vexatum iacere,плазмодиум дисентериа векзатум иацере
J32,maxillaris sinusitis,макзиларис синузитис
Q80,harlequin Ichthyosis,харлеквин ихтиозис
Q23,mitral regurgitation,митрал регургитацион
L83,acanthosis nigricans,акантозис нигриканс
B67,Multilocular hydatid,мултилокулар хидатид
M06,rheumatoid arthritis,реуматоид артритис
G36,Neuromyelitis optica,неуромиелитис оптика
Q82,XERODERMA pigmentosa,кзеродерма пигментоза
G91,Meningoencephalocele,менингенцефалоцеле
E83,Trichopoliodystrophy,трихополиодистрофи
F31,depressione bipolare,депрессионе биполаре
E78,ABETALIPOPROTEINEMIA,абеталипопротеинемиа
I45,Romano-Ward syndrome,романо-вард синдроме
E70,Homogentisic acidura,хомогентизик ацидура
Q78,Diaphyseal dYSPLASIA,диафисеал дисплазиа
D86,lymphogranulomatosis,лимфогрануломатозис
D80,lymphogranulomatosis,лимфогрануломатозис
H49,Tolosa Hunt syndrome,толоза хунт синдроме
Q77,PSEUDOACHONDROPLASIA,псеудоахондроплазиа
H53,Strabismic amblyopia,страбизмик амблиопиа
Q74,"AMC, Neurogenic Type","амк, неурогеник типе"
E71,Adrenoleukodystrophy,адренолеукодистрофи
G37,Adrenoleukodystrophy,адренолеукодистрофи
O15,postpartum ECLAMPSIA,постпартум еклампсиа
