
диагноза,ICD
алфа таласемия, хемоглобин Н тип,D56
алфа-таласемия интермедия,D56
HBH,D56
заболяване хемоглобин Н, делеционно,D56
Алкохолен хепатит,K70
остър алкохолен хепатит,K70
остро алкохолно чернодробно заболяване,K70
остро алкохолно чернодробно заболяване (разстройство),K70
Алкохолен хепатит (разстройство),K70
LPI,E72
Двуосновна аминокисерия 2,E72
двуосновна аминокисерия II,E72
Двуосновна аминоацидурия 2,E72
Dibasicamino aciduria II,E72
фамилна непоносимост към протеини,E72
хипердибазова аминоацидурия,E72
Хипердибазисна аминоацидурия тип 2,E72
ЛИЗИНУРНА ПРОТЕЙНОВА ИНТОЛЕРАНЦИЯ,E72
ЛИЗИНУРНА ИНТОЛЕРАНЦИЯ НА ПРОТЕИН; LPI,E72
Klebsiella пневмония,J15
пневмония, причинена от klebsiella pneumoniae,J15
Пневмония поради Klebsiella pneumoniae,J15
Пневмония поради Klebsiella pneumoniae (разстройство),J15
рак на уретрата,С68
Карцином на уретрата,С68
злокачествен тумор на уретрата,С68
злокачествена уретрална неоплазма,С68
рак на уретрата,С68
карцином на уретрата,С68
уретрата Ca,С68
Рак на уретрата,С68
Карцином на уретрата,С68
двигателно неврологично разстройство,G12
нарушение на моторния неврон,G12
зараза от Sarcoptes scabiei,B86
зараза от Sarcoptes scabiei var hominis,B86
Саркоптичен сърбеж,B86
МВД,A98
MHF,A98
Болест на зелената маймуна,A98
Марбургска болест,A98
Марбургска хеморагична треска,A98
Болест на вируса на Марбург,A98
възпаление на конюнктивата,H10
conjunctivaitis,H10
madras око,H10
розово око,H10
розово око,H10
КАТО,F84
Синдром на Аспергер,F84
Синдром на Аспергер,F84
Аспергер разстройство,F84
Аспергер,F84
aspie,F84
аутистична психопатия,F84
шизоидно разстройство на детството,F84
LHF,A96
LF,A96
Хеморагична треска на Ласа,A96
Тромбоза на коронарната артерия,I21
Тромбоза на коронарната артерия (нарушение),I21
Тромбоза на коронарната артерия,I22
Тромбоза на коронарната артерия (нарушение),I22
Гигантски клетъчен артерит,M31
Темпорален артерит,M31
Полимиалгия ревматика,M31
Краниален артерит,M31
Гигантски клетъчен артерит (разстройство),M31
Гигантски клетъчен артерит (нарушение),M31
Гигантски клетъчен артерит;,M31
Хортонова болест,M31
Болест на Хортън,M31
Темпорален артерит (разстройство),M31
възпаление на темпоралната артерия,M31
темпорален артериит,M31
AMC,Q74
Синдром на Герин-Щерн,Q74
Синдром на GuÃ © rin-Stern,Q74
AMCN,Q74
arthrogryposis multiplex congenita,Q74
рак на маточната шийка,C53
рак на шийката на матката,C53
рак на маточната шийка,C53
Злокачествена цервикална неоплазма,C53
Злокачествен тумор на шийката на матката,C53
Злокачествена цервиксна неоплазма,C53
Злокачествен тумор на шийката на матката,C53
Злокачествена шийка матка неоплазма,C53
Злокачествен тумор на маточната шийка,C53
Злокачествена неоплазма на цервикса,C53
Злокачествена неоплазма на маточната шийка,C53
Злокачествена неоплазма на шийката на матката,C53
Злокачествена неоплазма на маточната шийка,C53
Злокачествена неоплазма на маточната шийка,C53
злокачествено новообразувание на шийката на матката,C53
Злокачествен тумор на шийката на матката,C53
Злокачествен тумор на маточната шийка,C53
Злокачествен тумор на шийката на матката,C53
Злокачествен тумор на маточната шийка,C53
Злокачествен тумор на маточната шийка,C53
Злокачествен тумор на маточната шийка,C53
Злокачествена неоплазма на маточната шийка,C53
Злокачествен тумор на маточната шийка,C53
тумор на маточната шийка,C53
рак на маточната шийка,C53
Недостиг на оротидилова декарбоксилаза,Е79
Оротидилова пирофосфорилаза и дефицит на оротидилова декарбоксилаза,Е79
Дефицит на симптаза,Е79
Недостатък на Umps,Е79
Недостиг на уридин монофосфат синтаза,Е79
Недостиг на уридин монофосфат синтетаза,Е79
Дефицит на изоалеринова киселина CoA дехидрогеназа,E71
ISOVALERIC ACIDEMIA,E71
ISOVALERIC ACIDEMIA; IVA,E71
изовалерична ацидурия,E71
Isovalericacidemia,E71
Дефицит на изовалерил CoA карбоксилаза,E71
Дефицит на изовалерил-КоА дехидрогеназа,E71
Дефицит на изовалерил-КоА дехидрогеназа (разстройство),E71
IVA,E71
Недостиг на ivd,E71
MSD,E75
Болест на Остин,E75
Ювенилна сулфатидоза, тип Остин,E75
Mucosulfatidosis,E75
МНОГО ДЕФИЦИОННА СУЛФАТАЗА,E75
болест с множествена сулфатазна недостатъчност,E75
МНОГО СУЛФАТАЗНА ДЕФИЦИЕНТА; MSD,E75
Сулфатидоза, юношеска, тип Остин,E75
CMT1,G60
Автозомно доминантна демиелинизираща болест на Шарко-Мари-Зъб,G60
Charcot-Marie-Tooth невропатия тип 1,G60
наследствена двигателна и сензорна невропатия тип 1,G60
наследствена двигателна и сензорна невропатия тип Русе,G60
CMT4,G60
AR-CMT1,G60
Автозомно рецесивно демиелинизиращо Charcot-Marie-Tooth,G60
дистална наследствена двигателна невропатия,G60
наследствена двигателна и сензорна невропатия,G60
гръбначен CMT,G60
CMTX,G60
Синдром на Cowchock,G60
COWCK,G60
Х-свързана болест на Шарко-Мари-зъб,G60
Х-свързана наследствена двигателна и сензорна невропатия,G60
Chï¿½ï¿½diak-Higashi синдром,E70
Синдром на Chediak-Higashi,E70
ChÃ © diak-подобен на Хигаши синдром,E70
Синдром на Griscelli-Pruniï¿½ï¿½ras,E70
Синдром на Griscelli-Prunieras,E70
Синдром на Griscelli-PruniÃ © ras,E70
синдром на частичен албинизъм-имунодефицит,E70
Болест на мозъка-костите и мазнините,E75
Деменция, префронтална, с костни кисти,E75
Деменция, прогресираща, с липомембранозна поликистозна остеодисплазия,E75
Болест Насу-Хакола,E75
NHD,E75
PLO-SL,E75
PLOSL,E75
поликистозна липомембранозна остеодисплазия със склерозираща левкоенцефалопатия,E75
ПОЛИЦИСТИЧНА ЛИПОМЕМБРАННА ОСТЕОДИСПЛАЗИЯ С СКЛЕРОЗИРАЩА ЛЕВКОЕНЦЕФАЛОПАТИЯ; PLOSL,E75
презенилна деменция с костни кисти,E75
прогресираща деменция с липомембранозна поликистозна остеодисплазия; мозъчно-костно-мастна болест,E75
MPS Е,E76
мукополизахаридоза тип 1S,E76
мукополизахаридоза тип IS,E76
мукополизахаридоза тип V,E76
пероксизомно разстройство,E71
HCD,C88
Тежка болест на веригата,C88
Neuroacanthocytosis,Е78
Choreoacanthocytosis,Е78
Акантоцитоза с неврологично разстройство,Е78
Чак,Е78
Хънтингтън-acanthocytosis,Е78
choreo-acanthocytosis,Е78
CHOREOACANTHOCYTOSIS; Чак,Е78
Синдром на Левин-Кричли,Е78
Neuroferritinopathy,G23
NBIA3,G23
Възрастна базална ганглия,G23
Базална болест на ганглия, начална възраст,G23
Невродегенерация, свързана с феритин,G23
Наследствена феритинопатия,G23
НЕВРОДЕГЕНЕРАЦИЯ С АКУМУЛИРАНЕ НА ЖЕЛЕЗО НА ЖЕЛЕЗО 3,G23
НЕВРОДЕГЕНЕРАЦИЯ С АКУМУЛИРАНЕ НА ЖЕЛЕЗО НА ЖЕЛЕЗО 3; NBIA3,G23
Невродегенерация с мозъчно натрупване на желязо тип 3,G23
Neuroferritinopathy; Базална болест на ганглия, начална възраст,G23
заболяване на нервната система,G98
заболяване на нервната система,G98
заболявания на нервната система,G98
нарушение на нервната система,G98
разстройство на нервната система,G98
неврологично заболяване,G98
неврологично разстройство,G98
неврологично заболяване,G98
Неврология. Заболявания на нервната система,G98
заболяване на нервната система,G00
заболяване на нервната система,G00
заболявания на нервната система,G00
нарушение на нервната система,G00
разстройство на нервната система,G00
неврологично заболяване,G00
неврологично разстройство,G00
неврологично заболяване,G00
Неврология. Заболявания на нервната система,G00
Ендокринна аденоматоза множествена,E31
Ендокринна аденоматоза, множествена,E31
Меа 1,E31
MEA Тип 1,E31
MEA тип I,E31
Мъже 1,E31
МЪЖЕ Тип 1,E31
МЪЖКИ тип I,E31
MEN1,E31
Men1 соматични мутации,E31
MEN1 синдром,E31
Множествена ендокринна аденоматоза,E31
Множествена ендокринна аденоматоза тип 1,E31
Множествена ендокринна аденоматоза тип I,E31
Множествена ендокринна аденоматоза, тип I,E31
Множествена ендокринна неоплазия тип 1,E31
синдром на множествена ендокринна неоплазия тип 1,E31
Множествена ендокринна неоплазия тип I,E31
МНОГО ЕНДОКРИН НЕОПЛАЗИЯ, ТИП I,E31
МНОГО ЕНДОКРИН НЕОПЛАЗИЯ, ТИП I; MEN1,E31
Синдром на Вермер,E31
Ендокринна аденоматоза множествена,D44
Ендокринна аденоматоза, множествена,D44
Меа 1,D44
MEA Тип 1,D44
MEA тип I,D44
Мъже 1,D44
МЪЖЕ Тип 1,D44
Диабетна катаракта (разстройство),H28
рак на ларингеалния хрущял,C32
злокачествена неоплазма на ларингеалния хрущял,C32
злокачествена неоплазма на ларингеалния хрущял,C32
злокачествено новообразувание на ларингеалния хрущял NOS (разстройство),C32
злокачествена неоплазма на ларингеалните хрущяли,C32
злокачествен тумор на ларингеалния хрущял,C32
злокачествен тумор на ларингеалния хрущял (разстройство),C32
Вродена токсоплазмоза,p37
Вродена токсоплазмоза (разстройство),p37
Токсоплазмена ембриофетопатия,p37
Токсоплазмена ембриопатия,p37
Токсоплазмоза - вродена.,p37
Токсоплазмоза, вродена,p37
Синдром на внезапна детска смърт,R95
SIDS,R95
Смърт на яслите,R95
смърт на детско креватче,R95
Смърт на детско креватче (категория, зависима от контекста),R95
Смърт на яслите (категория, зависима от контекста),R95
Внезапна смърт от неспецифична причина в ранна детска възраст,R95
Синдром на внезапна детска смърт (категория, зависима от контекста),R95
Синдром на внезапна детска смърт (констатация),R95
Синдром на внезапна детска смърт NOS (категория, зависима от контекста),R95
Синдром на остър васкуларен теч,I78
AVLS,I78
Синдром на капилярна хиперпропускливост,I78
Синдром на капилярен теч,I78
Синдром на капилярен теч (разстройство),I78
Болест на Кларксън,I78
Болест на Кларксън,I78
Синдром на идиопатичен капилярен теч,I78
СГК,I78
синдром на системен капилярен теч,I78
HUS,D59
хемолитично-уремичен синдром,D59
хемолитичен уремичен синдром,D59
Хемолитично-уремичен синдром, HUS,D59
Бразилски забелязан,A77
Екзантематичен тиф на Сао Пауло,A77
Fiebre maculosa,A77
Fiebre manchada,A77
RMSF,A77
Екземнален тиф на Скалиста планина,A77
Тиф на Сао Пауло,A77
Така че Пауло треска,A77
Тобиа треска,A77
(Мандибулофациална дизостоза) или (синдром на Франческати),Q75
Синдром на Franceschetti,Q75
Синдром на Franceschetti-Klein,Q75
мандибулофациална дизостоза,Q75
Мандибулофациална дизостоза без аномалии на крайниците,Q75
PAN,M30
Периартерит Нодоса,M30
Полиартерит нодоза,M30
Класически полиартерит Nodosa,M30
Класически полиартерит Nodosa,M30
KC <болест на ssmaul-Maier,M30
Болест на Kössmaul-Maier,M30
Панатерит Нодоса,M30
инфекции, Trichomonas,A59
инфекция с трихомонада,A59
инфекции с трихомонада,A59
Trichomonas vaginalis трихомониаза,A59
урогенитални трихомонади,A59
Болест на Буергер,I73
Тромбоангитит облитерани,I73
Болест на Буергер,I73
Преселенова гангрена,I73
Пресенилна гангрена (разстройство),I73
Тромбоангитит облитерани (разстройство),I73
Тромбоангитис облитерани [болест на Буергер],I73
Tromboangiitis obliterans NOS (разстройство),I73
тръбна бременност,O00
Херния,K44
Диафрагмен - хиатус-херния,K44
ХЕРНИЯ, ХИАТУС,K44
хиатална херния,K44
Хиатална херния (разстройство),K44
Пълен дефицит на хипоксантин-гуанин фосфорибозилтрансфераза,Е79
дефицит на IMP пирофосфорилаза,Е79
Дефицит на HG-PRT,Е79
дефицит на хипоксантин гуанин фосфорибозилтрансфераза,Е79
Дефицит на хипоксантин-гуанин фосфорибозилтрансфераза,Е79
Дефицит на хипоксантин-гуанин фосфорибозилтрансфераза (разстройство),Е79
Дефицит на хипоксантин-гуанин фосфорибозилтрансфераза (нарушение) [Нееднозначно],Е79
Дефицит на хипоксантин-гуанин-фосфорибозилтрансфераза,Е79
Дефицит на хипоксантин-гуанин-фосфорибозилтрансфераза (& [синдром на Леш - Нихан]),Е79
Синдром на Леш - Нихан,Е79
Синдром на Леш-Нихан (разстройство),Е79
Синдром на Леш-Нихан, LNS,Е79
Х-свързана хиперурикемия,Е79
Х-свързана хиперурикемия (нарушение) [неясно],Е79
CML,C91
хронична гранулоцитна левкемия,C91
хронична гранулоцитна левкемия, ХГЛ,C91
хронична миелогенна левкемия,C91
хронична миелогенна левкемия, BCR-ABL1 положителен,C91
ХМЛ - хронична миелогенна левкемия,C91
миелоидна левкемия, хронична,C91
DWS,Q03
(Атрезия на форамина на Magendie + Luschka) или (синдром на Dandy - Walker),Q03
Атрезия на форамина на Магенди и Лушка,Q03
Малформация на Dandy-Walker,Q03
ДИНДИ-ВОЛКЕР СИНДРОМ,Q03
Синдром на Dandy-Walker (разстройство),Q03
ДИНДИ-ВОЛКЕР СИНДРОМ; DWS,Q03
Изолирана малформация на Dandy-Walker,Q03
МЪЖКИ тип I,D44
MEN1,D44
Men1 соматични мутации,D44
MEN1 синдром,D44
Множествена ендокринна аденоматоза,D44
Множествена ендокринна аденоматоза тип 1,D44
Множествена ендокринна аденоматоза тип I,D44
Множествена ендокринна аденоматоза, тип I,D44
Множествена ендокринна неоплазия тип 1,D44
синдром на множествена ендокринна неоплазия тип 1,D44
Множествена ендокринна неоплазия тип I,D44
МНОГО ЕНДОКРИН НЕОПЛАЗИЯ, ТИП I,D44
МНОГО ЕНДОКРИН НЕОПЛАЗИЯ, ТИП I; MEN1,D44
Синдром на Вермер,D44
1q21.1 синдром на микроделеция,Q93
ХРОМОСОМ 1q21.1 СИНДРОМ ЗА ИЗПЪЛНЕНИЕ, 1.35-MB,Q93
Del (1) (q21),Q93
монозомия 1q21.1,Q93
HL,C81
Болест на Ходжкин,C81
Лимфом на Ходжкин,C81
Лимфом на Ходжкин; HL,C81
Саргима на Ходжкин,C81
Лимфом на Ходжкинс,C81
етап I субдиафрагмален лимфом на Ходжкин,C81
етап II Судиафрагматичен лимфом на Ходжкин,C81
Инфантилен хипертиреоидизъм,P72
Неонатална тиреотоксикоза,P72
Неонатална тиреотоксикоза (разстройство),P72
Синдром на изтриване 22q11,Q93
синдром на изтриване 22q11.2,Q93
Синдром на Шпринтцен,Q93
VCF-Велокардиофациален синдром,Q93
HPS,Q40
Вродена хипертрофична пилорна стеноза,Q40
Вродено свиване на пилора,Q40
Вродена хипертрофична пилорна стеноза (разстройство),Q40
Вродена хипертрофия на пилора,Q40
Вродена или инфантилна стриктура на пилорус,Q40
Вродена пилорна стеноза,Q40
Вродена строгост на пилора,Q40
Хипертрофична пилорна стеноза, HPS,Q40
IHPS,Q40
Инфантилно свиване на пилора,Q40
инфантилна хипертрофична пилорна стеноза,Q40
Инфантилна хипертрофия на пилора,Q40
Инфантилна пилорна стеноза,Q40
Инфантилна строгост на пилора,Q40
пилорна стеноза, инфантилна,Q40
Анкилоза на зъбите,K03
Анкилоза на зъба,K03
Анкилоза на зъба (разстройство),K03
варовикова анкилоза на зъбите (болест),K03
Дентална анкилоза,K03
Молар 1 Превключване,K03
ТОЧНИ МОЛАРИ, ВТОРИЧНО ВЪЗСТАНОВЯВАНЕ НА,K03
Анкилоза на зъбите,K03
едновременно зрително възприятие без сливане,H53
Вродена хиатусна херния,Q40
Вродена хиатусна херния (разстройство),Q40
болест на акустичния нерв,Н93
заболяване на вестибулокохлеарния нерв,Н93
нарушение на вестибулокохлеарния нерв,Н93
разстройство на вестибулокохлеарния нерв,Н93
заболяване на капилярите,I78
заболяване на капилярите,I78
нарушение на капиляра,I78
анормална корелация на ретината (разстройство),H53
Стафилома на роговицата (разстройство),H18
pars plana на цилиарното възпаление на тялото,H30
pars plana на цилиарния бодилит,H30
PARS PLANITIS,H30
Заден циклит,H30
рак на оптичния хороид,C69
Хороидален тумор,C69
Злокачествена хороидна неоплазма,C69
Злокачествен хороиден тумор,C69
Злокачествена неоплазма на хороидеята,C69
злокачествено новообразувание на оптичния хороид,C69
Злокачествена неоплазма на хороидеята,C69
злокачествена оптична хореоидна неоплазма,C69
злокачествен тумор на хороидеята,C69
злокачествен тумор на хороидеята (разстройство),C69
злокачествен тумор на хороидеята,C69
оптичен рак на хориоидеята,C69
HGPS,E34
Progeria,E34
Синдром на Прогерия на Хатчинсън-Гилфорд,E34
Синдром на прогерия на Хатчинсън Гилфорд,E34
Синдром на Хатчинсън Гилфорд,E34
Болест на Хатчинсън-Гилфорд,E34
HUTCHINSON-GILFORD PROGERIA SYNDROME; HGPS,E34
Синдром на преждевременна сенилност,E34
Прогерия (разстройство),E34
Прогерийски синдром,E34
Прогерийски синдром (разстройство) [неясно],E34
Прогерийски синдром, детско начало,E34
Kwashiokor,E40
Хранителен оток с диспигментация на кожата и косата,E40
Хранителен оток с диспигментация на кожата и / или косата,E40
SAS,G47
анална и ректална язва,K62
анална и ректална язва NOS (разстройство),K62
придобита стеноза на носослезния канал,H04
придобита стеноза на носослезния канал (разстройство),H04
Стеноза на носослезния канал, придобити,H04
Сълзен канал - придобита стеноза,H04
хроничен дуоденален илеус (разстройство),K31
Енцефалит след имунизационни процедури,G04
Пост ваксинален енцефаломиелит,G04
Поствакцинален енцефаломиелит,G04
Поствакцинален енцефаломиелит (разстройство),G04
Заден склерит (разстройство),H15
Заден склерит (разстройство) [неясно],H15
Възпалително заболяване на матката,N71
Възпалително заболяване на матката (разстройство),N71
Неопределено възпалително заболяване на матката,N71
Неопределено възпалително заболяване на матката (разстройство),N71
Неопределена възпалителна болест на матката NOS (разстройство),N71
чернодробен инфаркт (разстройство),K76
инфаркт на черния дроб,K76
Епифора поради недостатъчен дренаж (нарушение),H04
Неонатална инфекция на пикочните пътища (разстройство),p39
инфекция на пикочните пътища на новороденото,p39
Екваториален стафилома (разстройство),H15
Заден стафилома,H15
Staphyloma posticum (разстройство),H15
Преден стафилом, локализиран,H15
локализиран преден стафилома (разстройство),H15
Преден склерит (разстройство),H15
остър мирингит,Н73
остър мирингит (разстройство),Н73
остър мирингит NOS (разстройство),Н73
остър мирингит, неуточнен,Н73
Неопределен остър тимпанит (разстройство),Н73
конюнктивит при възрастни,A74
Хламидиален конюнктивит,A74
Включваща бленнорея,A74
приобщаваща бленорея,A74
Конюнктивит на неонатален хламидия,A74
Paratrachoma,A74
злокачествено новообразувание на централната част на женската гърда,C50
злокачествено новообразувание на централната част на женската гърда (разстройство),C50
злокачествено новообразувание на централната част на женската гърда,C50
Паразитна инфекция на клепачите (разстройство),H03
Паразитна зараза на клепача,H03
заболяване на хипоглосалния нерв,G52
нарушение на 12-ти нерв,G52
нарушение на хипоглосалния [12-ти] нерв,G52
нарушение на хипоглосалния нерв,G52
нарушение на хипоглосалния нерв (разстройство),G52
Разстройство на XII нерв,G52
нарушение на XII нерв,G52
Разстройство на хипоглосалните нерви,G52
Дванадесето нервно разстройство,G52
екстрапирамидно и двигателно заболяване,G25
екстрапирамидно и двигателно заболяване,Г-20
Склерит със засягане на роговицата,H15
Склерит със засягане на роговицата (разстройство),H15
плосък блефарит (разстройство),H01
заболяване на потните жлези,L74
заболяване на потните жлези,L74
нарушение на потните жлези,L74
нарушение на потните жлези,L74
Множество палсии на черепния нерв,G52
Множество парези на черепния нерв (разстройство),G52
Множество парези на черепните нерви NOS (разстройство),G52
Множествена парализа на черепния нерв,G52
Множествена паразия на черепния нерв (разстройство),G52
заболяване на трохлеарния нерв,H49
нарушение на трохлеарния нерв,H49
IV разстройство на черепния нерв,H49
IV разстройство на нерва,H49
Превъзходно разстройство на косата мускулна инервация,H49
Нарушение на трохлеарния нерв,H49
Нарушение на трохлеарния нерв, NOS,H49
Нередовен астигматизъм (разстройство),H52
придобити недостатъци на цветното зрение,H53
придобит дефицит на цветно зрение,H53
придобити дихроматопсия,H53
заболяване на зрителния тракт,H47
нарушение на зрителния тракт,H47
болест на зрителния тракт,H47
нарушение на зрителния път,H47
Интрамурален лейомиом на матката,D25
Интрамурален лейомиом на матката (разстройство),D25
хронично възпаление на орбитата,H05
хронично възпаление на орбитата (разстройство),H05
хронично възпаление на орбита NOS (разстройство),H05
хронично възпаление на орбитата, неуточнено,H05
хронично възпалително разстройство на орбитата,H05
Неопределено хронично възпаление на орбитата (разстройство),H05
злокачествено новообразувание на долно-външния квадрант на женската гърда,C50
злокачествено новообразувание на долния и външния квадрант на женската гърда (разстройство),C50
Контакт с блефароконюнктивит (разстройство),H10
епифора,H04
пълно транспониране на големите артерии,Q20
вродено некоригирано транспониране на големите артерии,Q20
вродено некоригирано транспониране на големите съдове,Q20
cTGA,Q20
г-TGA,Q20
декстро-циклично транспониране на големите артерии,Q20
декстро-TGA,Q20
декстро-транспониране на големи артерии,Q20
изолиран камерно-артериален разстройство,Q20
Единичен сърдечен дефект на вентрикула,Q20
вентрикулоартериално разминаване с атриовентрикуларна съгласуваност,Q20
CACH,E75
CLE,E75
детска атаксия с хипомиелинизация на централната нервна система,E75
Крие левкоенцефалопатия,E75
изчезваща бяла материя левкодистрофия,E75
синдром на алфа таласемия-интелектуална инвалидност тип 1,D56
синдром на алфа таласемия-интелектуална увреждане, тип на изтриване,D56
Синдром на алфа таласемия-умствена изостаналост,D56
синдром на алфа таласемия-ретардация,D56
алфа-таласемия-интелектуален синдром на увреждане, свързан с хромозома 16,D56
Алфа-таласемия-интелектуален инвалиден синдром, свързан с хромозома тип 16,D56
АЛФА-ТАЛАСЕМИЯ / СИНДРОМ ЗА МЕНТАЛНА РЕТАРДАЦИЯ, ХРОМОСОМА 16 СВЪРЗАНИ,D56
алфа-таласемия / синдром на умствена изостаналост, тип на делеция,D56
алфа-таласемия / синдром на умствена изостаналост, тип 1,D56
ATR синдром, свързан с хромозома 16,D56
ATR синдром, тип на изтриване,D56
ATR-16 синдром,D56
Atr, Тип на изтриване,D56
Синдром на изтриване на хромозома 16P,D56
Хемоглобин Н-свързана с умствена изостаналост,D56
Умствена изостаналост с хемоглобин Н,D56
IPEX,E31
XPID,E31
Автоимунна ентеропатия тип 1,E31
синдром на автоимунитет-имунодефицит, X-свързан,E31
захарен диабет, вродена инсулинозависима, с фатална секреторна диария,E31
диария, полиендокринопатия, синдром на фатална инфекция, свързан с X,E31
DMSD,E31
Ентеропатия, автоимунна, с хемолитична анемия и полиендокринопатия,E31
Синдром на IDDM-секреторна диария,E31
Имунна дисфункция и синдром на диария,E31
Имунна дисрегулация, полиендокринопатия и ентеропатия X-свързан синдром,E31
имунодефицит, полиендокринопатия и ентеропатия, свързани с X,E31
Имунодефицит, полиендокринопатия и ентеропатия, свързан с X, преди,E31
имунодирегулация, полиендокринопатия и ентеропатия, X-Linked,E31
ИМУНОДИЗРЕГУЛАЦИЯ, ПОЛИЕНДОКРИНОПАТИЯ И ЕНТЕРОПАТИЯ, Х-СВЪРЗАНИ; IPEX,E31
Острови на Лангерханс, отсъствие на,E31
Полиендокринопатия, имунна дисфункция и диария, свързани с X,E31
X свързана полиендокринопатия,E31
Синдром на свързана с автоимунитет алергична дисрегулация,E31
XLAAD,E31
Липсват палци, дислоцирани стави, дълго лице с тесни палпабрални фисури, дълъг тънък нос, извито небце,Q87
Радиална и пателарна аплазия,Q87
Радиална и пателарна хипоплазия,Q87
РАПАДИЛИНО СИНДРОМ,Q87
OFD6,Q04
Синдром на Жубер с орално-лицево-дигитален синдром,Q04
Коефициенти 6,Q04
Орално-лицево-дигитален синдром тип 6,Q04
Орално-лицево-дигитален синдром, тип 6,Q04
Орофациодигитален синдром тип 6,Q04
орофациодигитален синдром VI,Q04
ОРОФАЦИОДИГИТАЛЕН СИНДРОМ VI; OFD6,Q04
Полидактилия - цепка на устната / небцето - психомоторно забавяне,Q04
Психомоторно забавяне на небцето на устните с полидактила,Q04
Синдром на полидактилно-цепна устна / небце-психомоторно забавяне,Q04
Полидактилия, разцепена устна / небце или езикова бучка и забавяне на психомоторите,Q04
Синдром на Варади,Q04
Синдром на V¡radi,Q04
Синдром на Варади-Пап,Q04
Синдром на V¡radi-Papp,Q04
ХРОМОСОМ 9p СИНДРОМ ЗА ИЗБРАНЕ,Q93
Монозомия 9p,Q93
синдром на моносомия 9p,Q93
Монозомия тип 9p,Q93
морфея,L94
описана склеродермия,L94
Обрязана склеродермия NOS (разстройство),L94
локализирана морфоя,L94
локализирана морфея,L94
локализирана морфея (разстройство),L94
локализирана склеродермия (нарушение) [неясно],L94
Пансклеротична морфея,L94
Склеродермия, описана или локализирана,L94
Неопределена описана склеродермия (разстройство),L94
Кандидоза на устата,B37
Кандидоза на устата (разстройство),B37
кандидоза на устата,B37
Орална монилиаза,B37
кандидоза на орофаринкса,B37
орофарингеална млечница,B37
млечница (разстройство),B37
Млечница, орално,B37
автозомно-рецесивна мускулна дистрофия на крайниците и пояса тип 2R,G71
desminopathy,G71
TMD,G71
Дистална миопатия, тип Udd,G71
дистална титинопатия,G71
Финландска тибиална мускулна дистрофия,G71
Тардивна тибиална мускулна дистрофия,G71
ТИБИЛНА МУСКУЛЯРНА ДИСТРОФИЯ, ТАРДИВНА,G71
Уд миопатия,G71
Дистална миопатия тип Udd,G71
АНЕМИЯ ЛЕКОЕРТРОБЛАСТИКА,D61
Анемия, левкоеритробластична,D61
Leukoerythroblastosis,D61
Миелофтична анемия (разстройство),D61
myelophthisis,D61
миеломенигосел,Q05
менингомиелоцеле,Q05
дд,Q77
DTD,Q77
Диастрофично джудже,Q77
ДИАСТРОФНА ДИСПЛАЗИЯ,Q77
Диастрофична дисплазия, широка костно-платиспондилова разновидност,Q77
ДИАСТРОФНА ДИСПЛАЗИЯ; DTD,Q77
МУЛИБРИ джудже,Q87
МУЛИБРИ НАНИЗЪМ,Q87
Мускул-черен дроб-мозък-очи Нанизъм,Q87
Синдром на Perheentupa,Q87
ПЕРИКАРДИАЛНО СТРОИТЕЛСТВО И НЕЗАПАДНОСТ НА РЪСТА,Q87
Синдром на неуспех на перикардна констрикция-растеж,Q87
лимфом,С85
лимфоиден рак,С85
Лимфом (ходжкин и неходжкин),С85
Лимфом (ходжкинов и неходжкинов),С85
ЛИМФОМА, МАЛИГАНТ,С85
Лимфом, NOS,С85
лимфоматозни,С85
Злокачествен лимфом,С85
Синдром на Марфан,Q87
MFS,Q87
Болест на рефсума,G60
Heredopathia atactica polyneuritiformis,G60
Класическа рефлумна болест,G60
Разстройство на разяждането 11 (тип фитонова киселина),G60
Док 11 (тип фитонова киселина),G60
Наследствена двигателна и сензорна невропатия 4,G60
Наследствена двигателна и сензорна невропатия тип 4,G60
Наследствена сензорна и двигателна невропатия тип 4,G60
HMSN 4,G60
HMSN тип IV,G60
HSMN IV,G60
Хипертрофична невропатия на Refsum,G60
Дефицит на фитанова киселина оксидаза,G60
Дефицит на хидроксилаза на Phytanic-CoA,G60
Рефлумна болест, възрастен, 1,G60
РЕФУЗИЧНА БОЛЕСТ, КЛАСИЧНА,G60
Болест на Рефсум,G60
Недостиг на A-фукозидаза,E77
дефицит на алфа фукозидаза,E77
Недостиг на алфа-L-фукозидаза,E77
FUCOSIDOSIS,E77
Фукозидоза (разстройство),E77
Лизозомно съхранение, причинено от дефектна алфа-L-фукозидаза с натрупване на фукоза в тъканите,E77
OCD,F42
първична хипотония на очите,H44
първична хипотония на очите (разстройство),H44
Екзофталм поради странично изместване на глобуса (разстройство),H05
Странично изместване на очите (разстройство),H05
Странично изместване на глобуса,H05
Простатоцистит (разстройство),N41
Пулсиращ екзофталмос (разстройство),H05
Прекъсващ екзофталмос,H05
Прекъснат екзофталмос (разстройство),H05
SMA3,G12
Юношеска спинална мускулна атрофия,G12
Болест на Kugelberg-Welander,G12
Синдром на Kugelberg-Welander,G12
Мускулна атрофия, юношеска,G12
Проксимална спинална мускулна атрофия тип 3,G12
Sma 3,G12
SMA тип 3,G12
SMA тип III,G12
SMA-III,G12
Спинална мускулна атрофия III,G12
