A08.1, гастроентеропатия 
D35.2, аденом на хипофизата хипертонична болест 
D35.2, микроаденом на хипофиза 
D35.2, микроаденом на хипофизата / хормононесекретиращ/ 
D35.2, микроаденом на хипофизата /хормононесекретиращ/ 
D35.2, аденома гландуле хипофизеус /реактивен/ диабетес мелитус типус 2 
D35.2, макроаденом на хипофизата - хормононесекретиращ 
D35.2, аденом на хипофизата състояние след трансфеноидална аденомектомния тиреоидит на хашимото метаболитен синдром 
D35.2, макроаденом на хипофизата хипопитуитаризъм хиперпролактинемия 
D35.2, аденом на хипофизата- краниофарингеом 
D35.2, аденом на хипофизата /инциденталом/ 
D35.2, аденом на хипофизата (хормононесекретиращ) 
D35.2, аденом на хипофизата (хормононесекретиращ микроаденом) 
D35.2, аденом на хипофизата състояние след трансфеноидална аденомектомния хипопитуитаризъм 
D35.2," аденома гландуле хипофизеос, микроаденом, инциденталом "
D35.2, аденом на хипофизата ( хормононесекретиращ) 
D35.2, аденома гландуле хипофизеос / соматопролактином/ 
D35.2, аденома гландуле хипофизеос /инциденталом/ 
D35.2, микроаденом на хипофизата /пролактином/ 
D35.2, аденом на хпипофизата 
D35.2, аденом на хипофизата ( несекретиращ) 
D35.2, аденом на хипофизата - микроаденом 
D35.2, аденом на хипофизата /пролактином/ 
D35.2, доброкачествено образувание на хипофизата (супраселарна арахноидна киста) 
D35.2, аденом на хпофизата 
D35.2," макроаденом на хипофизата, хормононесекретиращ "
D35.2, аденом на хипофизата /хормононесекретиращ/ състояние след транссфеноидална аденомектомия по повод макроаденом 
D35.2, аденома гландуле хипофизеос / пролактином/ 
D35.2, макроаденом на хипофизата - соматопролактином 
D35.2, макроаденом на хипофизата - пролактином 
D35.2," аденом на хипофизата, хормононесекретиращ (инциденталом) "
D35.2, аденом на хипофизата /макропролактином/ 
D35.2, аденома гландуле хипофизеос 
D35.2, аденома гландуле хипофизеос / пролактином / 
D35.2, аденом на хипофизата ( хормононесекретиращ) артериална хипертония gr. ii 
D35.2, микроаденом на хипофизата / хормононесекретращ/ 
D35.2, аденом на хипофизата / инциденталом/ 
D35.2, аденом на хипофизата(хормононесекретиращ) 
D35.2, хипофизен макроаденом
D35.2, аденом на хипофизата обс микропролактином 
D35.2," аденом на хипофизата, хормононесекретиращ "
D35.2, аденом на хипофизата- пролактином 
D35.2, аденом на хипофизата- инциденталом 
D35.2, микроаденом на хипофизата - инциденталом 
D35.2, микроаденом на хипофизата / инциденталом/ 
D35.2, микроаденом на хипофизата -пролактином 
D35.2, микроаденом на хипофизата- инциденталом 
D35.2," аденом на хипофизата, хормононесекретиращ, състояние след транссфеноидална аденомектомия "
D35.9, аденом на ляв лоб на щитовидната жлеза 
D35.9, аденом на щитовидната жлеза 
D35.9, аденом на левия дял на щитовидната жлеза 
D35.9, аденом в ляв лоб на щитовидната жлеза 
D36.7, аденом на десен надбъбрек 
D36.7, аденом на ляв надбъбрек 
D36.7, аденом на ляв надбъбрек (инциденталом) 
D36.7, двустранни надбъбречни аденоми /инциденталоми/ 
D36.7, аденом на десен надбъбрек (соnn’s аdеnома) 
D36.7, аденом на десен надбъбрек - инциденталом 
D36.7, аденом на десния надбъбрек - инциденталом 
D36.7, аденом на левия надбъбрек - инциденталом 
D36.7, аденом на левия надбъбрек 
D36.7, аденом на десен надбъбрек - хормононесекретиращ 
D36.7, аденом на ляв надбъбрек /инциденталом/ 
D36.7, аденом на ляв надбъбрек- инциденталом 
D36.7, двустранни надбъбречни аденоми 
D36.7, аденом на надбъбрека 
D36.7, аденом на десен надбъбрек - феохромоцитом 
D36.7, аденом на ляв надбърек (хормононесекретиращ) 
D36.7, аденом на ляв надбъбрек /хормононесекретиращ/ 
D36.7, аденом на десния надбъбрек 
D36.7, аденоми на двата надбъбрека 
D36.7, аденом на левия надбъбрек / инциденталом/ тиреоидит на хашимото 
D36.7, аденом на десен надбъбрек /инциденталом/ 
D36.7," аденом на левия надбъбрек, хормононесекретиращ, инциденталом "
D36.7, аденом на надбъбрека- феохромоцитом 
D36.7, аденоми на ляв надбъбрек/ първичен алдостеронизъм/ 
D36.7, аденом на левия надбъбрек / инциденталом/ 
D36.9, аденома гл 
D36.9, аденома гландуле паратиреоидеа синистра супериор 
D36.9, аденома гландуле паратиреоидее синистра супериор 
D36.9, аденома гландуле супрареналис декстра - инциденталома 
D36.9, аденома гландуле супрареналис декстра 
D36.9, аденома гландуле паратир 
D50.9, желязодефицитна анемия 
D50.9, желязо-дефицитна анемия 
D50.9, желязодефицитна анамия
D50.9, анемия-желязодефицитна 
D50.9, желязо дефицитна анемия 
D59.1, аиха
D59.1, автоимунна хемолитична анемия 
D63.8, бъбречна анемия 
D64.8, вторична анемия
D64.8, вторична анемия 
D64.9, анемичен синдром с неясна генеза 
D64.9, анемия фериприва 
D64.9, анемичен синдром 
D64.9, анемия секундария 
D64.9, анемия сек 
D64.9, симптоматична анемия 
D64.9, пернициозна анемия 
D64.9, анемия секундария- фериприва 
D64.9, анемичен с-м 
D64.9, макроцитна анемия 
D64.9, Іб анемия фериприва 
D64.9, анемия 
D64.9, анемичен с- м 
D64.9, макроцитна хиперхромна анемия 
D64.9, лекостепенен анемичен с-м 
D64.9," анемия (смесена), хипопротеинемия "
D64.9, микроцитна анемия 
D64.9, вторичен анемичен синдром 
D72.8, левкопения
D76.3, хистиоцитоза х 
D82.8, тежък комбиниран имунен дефицит засягащ хуморалния и клетъчния имунитет 
E01.0, струма дифуза гр. І 
E01.0, струма дифуза гр 
E01.0, струма дифуза гр 1а/ еутиреоидес 
E01.0, струма дифуза І в ст 
E01.0, струма дифуза І б 
E01.0, струма дифуза гр. Іб 
E01.0, струма дифуза- 1аст
E01.0, струма дифуза гр. i б 
E01.0, струма дифуза гр i а 
E01.0, струма дифуза І аст еутироидна 
E01.0, струма дифуза І а ст 
E01.0, струма дифуза І агр 
E01.0, струма дифуза гр. І б 
E01.0, струма дифуза гр. І а 
E01.0, струма дифуза І агр еутироидна 
E01.0, струма дифуза І а хипертония артериалис ІІІ гр. ибс 
E01.0, струма дифуза І гр 
E01.0, струма дифуза Іа
E01.0, струма дифуза гр. i 
E01.0, струма дифуза І гр еутироидна 
E01.0, струма дифуза 1б - еутиреоидно състояние 
E01.0, струма дифуза Іб
E01.0, струма дифуза 1бст
E01.0, струма дифуза гр. ?а 
E01.0, струма дифуза І б еутироидна 
E01.0, струма дифуза гр. i а 
E03, първичен хипотиреоидизъм 
E03, първичен хирерпаратиреоидизъм 
E03, първичен хипотиреоидизъм- медикаментозно компенсиран 
E03," първичен хипотиреоидизъм, компенсиран "
E03," първичен (постоперативен) хипотиреоидизъм, компенсиран "
E03, първичен хипотиреоидизъм - медикаментозно некомпенсиран 
E03.2, медикаментозно-индуциран хипотиреоидизъм 
E03.2, амиодарон индуциран хипотиреоидизъм 
E03.2, медикаментозно индуциран хипотиреоидизъм 
E03.2, медикаментозно компенсиран хипотиреоидизъм 
E03.2, амиодарон индуциран субклиничен хипертиреоидизъм 
E03.8, вторичен хипотиреоидизъм 
E03.9, хипотиреоидизмус постоператива
E03.9," хипотиреоидизъм след радиойодтерапия поради базедова болест с хронично-рецидивиращо протичане, лека форма "
E03.9, хипотиреоидизмус примариус
E03.9, хипотиреоидизъм постоператива 
E03.9, хипотиреоидизмус компенсата
E03.9, хипотиреоидизъм 
E03.9, хипотиреоидизмус постоператива статус пост тиреоидектомиам ет йод- терапиям проптер са гландуле тиреоидее 
E03.9, хипотиреоидизъм постоперативен-компенсиран 
E03.9, хипотиреоидизъм след радиойодтерапия/ по повод базедова болест с хронично-рецидивиращо протичане/- компенсирано състояние 
E03.9, хипотиреоидизъм след радиойодтерапия поради хашитоксикоза 
E03.9, хипотиреоидизмус постоператива компенсата
E03.9," хипотиреоидизъм след субтотална резекция на щитовидната жлеза по повод базедова болест, медикаментозно компенсиран "
E03.9, хипотиреоидизмус ет хипопаратиреоидизмус постоператива 
E03.9, хипотиреоидизъм след радиойодтерапия поради хашитоксикозаq субкомпенсиран 
E03.9, хипотиреоидизмус постоператива статус пост тиреоидектомиам ет йод- терапиям проптер са гландуле тиреоидае 
E03.9, хипотиреоидизмус ет хипопаратираоидизмус постоператива 
E03.9," хипотиреоидизъм след радиойодтерапия поради хашитоксикоза, субкомпенсирана "
E03.9, хипотиреоидизъм след радиойодлечение (10 миликюри февруари 2008 г 
E03.9, хипотиреоидна фаза 
E03.9," хипотиреоидизъм след радиойодтерапия поради хашитоксикоза, компенсиран "
E03.9, хипотиреоидизъм след радиойодтерапия/ по повод базедова болест с хронично-рецидивиращо протичане/- некомпенсирано състояние 
E03.9, хипотиреоидизъм/
E03.9, хипотиреодизъм след резекция на щитовидната жлеза по повод папиларен карцином / компенсиран / 
E03.9," хипотиреоидизъм след радиойодтерапия поради хашитоксикоза, субкомпенсиран "
E03.9," хипотиреоидизъм след радиойодлечение поради хашитоксикоза с хронично рецидивиращо протичане, компенсиран "
E03.9, хипотиреоидизмус- /постоператива ет пост йод 131 терапиам/ 
E03.9, хипотиреоидизъм - компенсиран 
E03.9, хипотиреоидизмус- постоператива ет пострадиойодтерапиам 
E03.9, хипотиреоидизъм след радиойодлечение 
E03.9, хипотиреоидизмус /смесена генеза/
E03.9, хипотиреоидинзмус постоператива
E03.9, хипотиреоидизъм- постоперативен и пострадиойодление / про са гл. тир. / 
E03.9, хипотиреоидизъм-декомпенсиран 
E03.9, хипотиреоидизъм - медикаментозно компенсиран 
E03.9, хипотиреоидизъм- медикаментозно компенсиран 
E03.9, хипотиреоидизъм постоперативен 
E03.9, хипотиреидизъм
E03.9, хипотиреоидизмус примариус /некомпенсиран/
E03.9, хипотиреоидизъм със смесена генеза- първичен и вторичен 
E03.9, хипотиреоидизъм (некомпенсиран) след субтотална резекция на щитовидната жлеза и екстирпация на аденом на долна дясна паратиреоидна жлеза 
E03.9, хипотиреоидизъм след радиойодтерапия по повод базедова болест с нодозна трансформация 
E03.9, хипотиреоидизъм след радиойодлечение (7миликюри 2007 г 
E03.9," хипотиреоидизъм след субтотална резекция на щитовидната жлеза по повод на базедова болест с нодозна трансформация, субкомпенсиран "
E03.9, хипотиреоидизъм след 131-йод лечение (6 миликюри) поради нодозна базедовифицирана струма 
E03.9, хипотиреоидизъм - компенсиран след субтотална резекция на щитовидната жлеза и екстирпация на аденом на долна дясна паратиреоидна жлеза 
E03.9, хипотиреоидизъм след радиойодтерапия (8мсi
E03.9, хипотиреоидизъм след резекция на щитовидната жлеза поради нодозен вариант на тиреоидит на хашимото 
E03.9, хипотиреоидизъм след тиреоидектомия по повод фоликуларен карцином на щитовидната жлеза 
E05, жлеза- постоперативен рецидив на хипертиреоидизъм 
E05.0," м базедови - 2 епизод, средно тежка форма, активен стадий "
E05.0, базедова болест- ремисия 
E05.0," хашитоксикоза с хронично рецидивиращо протичане, средно тежка форма, в терапевтична ремисия "
E05.0, про м базедови 
E05.0," м базедови - постоперативен рецидив, в стадий на медикаментозен хипотиреоидизъм "
E05.0," морбус базедови - първи епизод, средно-тежка форма, терапевтична ремисия "
E05.0," базедова болест с хронично-рецидивиращо протичане, рецидив след оперативно лечение, терапевтична ремисия "
E05.0," морбус базедови-i епизод, среднотежка форма, имунологична ремисия "
E05.0," базедова болест -2-ри епизод тежка форма-непълна терапевтична и имунологична ремисия, фаза на мед "
E05.0, базедова болест - ремисия 
E05.0," хашитоксикозис - І-ви епизод, средно тежка форма "
E05.0," хашитоксикозис - хронично рецидивиращо протичане, в терапевтична ремисия "
E05.0," базедова болест, І епизод, лека форма, в начална терапевтична ремисия "
E05.0," м базедови- 1 епизод, средно тежка форма, нодозна трансформация на струмата, в начална терапевтична ремисия "
E05.0," м базедови- 2 епизод, средно тежка форма, нодозна трансформация, в непълна терапевтична ремисия "
E05.0," хашатоксикозис - І-ви епизод, средно тежка форма, с нодозна трансформация, в терапевтична ремисия "
E05.0," хашитоксикозис - нодозен вариант, с портрахирано протичане, в терапевтична ремисия "
E05.0," базедова болест І епизод, средно-тежка форма, в терапевтична ремисия "
E05.0," хашитоксикоза, І-ви епизод с протрахирано протичане, непълна имунологична ремисия, субклиничен хипертиреоидизъм "
E05.0," базедова болест І епизод средно- тежка форма, хронично персистиращо протичане, в медикаментозно идуциран субклиничен хипотиреоидизъм "
E05.0," базедова болест - І-ви епизод, тежка форма, активна "
E05.0," хашитоксикозис- хронично рецидивиращо протичане, в начална терапевтична ремисия "
E05.0," м базедови - 1 епизод, средно тежка форма, начална терапевтична ремисия "
E05.0," хашитоксикоза, І еп. , ср "
E05.0," хашитоксикозис - 1 епизод, средно тежка форма, в начална терапевтична ремисия "
E05.0," струма нодоза базедовификата, гр "
E05.0," морбус базедови - І-ви епизод, среднотежка форма, обострена "
E05.0," м базедови- 1 епизод, средно тежка форма, в непълна терапевтична ремисия "
E05.0," хашитоксикоза с протрахирано протичане, среднотежка форма, в начална терапевтична ремисия "
E05.0," базедова болест- активна фаза, ср "
E05.0," базедова болест - 1 епизод, с нодозна трансформация, средно тежка форма, в ремисия "
E05.0," базедова болест - І епизод, средно-тежка форма "
E05.0, базедова болест- ІІІ епизод 
E05.0," базедова болест - 1 епизод, средно тежка форма, в терапевтична ремисия "
E05.0," базедова болест, І епизод, средно-тежка форма "
E05.0," хашитоксикоза - І-ви епизод, среднотежка форма, в терапевтична ремисия "
E05.0," базедова болест - Іви епизод, средно тежка форма, в терапевтична ремисия "
E05.0, хашитоксикозис - фаза на субклиничен хипертиреоидизъм 
E05.0," хашитоксикозис - 1епизод, средно тежка форма, в терапевтична ремисия "
E05.0," нодозна базедовифицирана струма ІІ степен (тип марин-ленарт), в начална терапевтична ремисия "
E05.0," м базедови- хронично рецидивиращо протичане, средно тежка форма, в непълна терапевтична ремисия "
E05.0," хашитоксикозис- 1 епизод, средно тежка форма, в непълна терапевтична ремисия "
E05.0," струма нодоза базедовификата ІІ степен - І епизод, средно -тежка форма, начална терапевтична ремисия "
E05.0, хащитоксикоза - ремисия
E05.0," хашитокисикоза с хронично рецидивиращо протичане, в ремисия след радиойодтерапия (7миликюри декември 2007 г. ) "
E05.0," базедова болест - І-ви епизод, средно тежка форма, в терапевтична ремисия "
E05.0," базедови - 1 епизод, средно тежка форма в терапевтична ремисия "
E05.0," базедова болест І епизод средно-тежка форма, хронично персистиращо протичане, в терапевтична ремисия "
E05.0," м базедови- 1 епизод, средно тежка форма, в начална терапевтична ремисия "
E05.0," хашитоксикоза - нодозен вариант, с хронично-рецидивиращо протичане, среднотежка форма, в терапевтична ремисия "
E05.0," базедова болест - І епизод, средно тежка форма, в терапевтична ремисия "
E05.0, хашитоксикозис - в терапевтична ремисия 
E05.0," хашитоксикоза -І епизод, с нодозна трансформация, средно-тежка форма, в терапевтична ремисия "
E05.0," хашитоксикоза - І епизод, средно-тежка форма, в начална терапевтична ремисия "
E05.0," хашитоксикоза - ІІІ-ти епизод, средно тежка форма, активна "
E05.0, м базедови- хронично рецидивиращо протичане в начална терапевтична ремисия 
E05.0," базедова болест - І-ви епизод, среднотежка форма, активна "
E05.0," хашитоксикоза - І-ви епизод, средно тежка форма, терапевтична ремисия "
E05.0," хашитоксикоза- 1 епизод, средно тежка форма, в терапевтична ремисия "
E05.0," хашитоксикозис- хронично-рецидивиращо протичане, в непълна терапевтична ремисия "
E05.0," базедова болест - 1 епизод, средно- тежка форма, в непълна терапевтична ремисия "
E05.0," базедова болест -2-ри епизод, тежка форма, в терапевтична ремисия "
E05.0," базедова болест- 1-ри епизод, средно- тежка форма, в непълна терапевтична ремисия "
E05.0, м базедови - в терапевтична ремисия 
E05.0, струма нодоза базедовификата гр 1б/- в терапевтична ремисия 
E05.0," хашитоксикоза-с ронично рецидивиращо протичане, тежка форма, в непълна терапевтична ремисия "
E05.0," м базедови- хронично рецидивиращо протичане, в начална терапевтична ремисия "
E05.0," м базедови с хронично рецидивиращо протичане, обострена "
E05.0," базедова болест с нодозна трансформация, протрахирано протичане, в терапевтична ремисия "
E05.0," нодозна базедовифицирана струма ІІ степен (тип марин-ленарт), в терапевтична ремисия "
E05.0," хашитоксикозис- 1 епизод, лека форма, акт "
E05.0," м базедови- 1 епизод, средно тежка фора, в начална терапевтична ремисия "
E05.0," морбус базедови - І-ви епизод, средно тежка форма, в терапевтична ремисия "
E05.0," м базедови - постоперативен рецидив, в непълна терапевтична ремисия "
E05.0," хашитоксикозис 1 епизод, средно тежка фора, акт "
E05.0, нодозна базедовифицирана струма І-б-ІІ ст 
E05.0," базедова болест ІІ-ри епизод, средно тежка форма, с нодозна транформация, в ремисия "
E05.0, хашитоксикозис
E05.0," хашитоксикоза - І-ви епизод, среднотежка форма, активна "
E05.0," хашитоксикозис - 1 епизод, средно тежка форма, във фаза на медикаментозно индуциран субклиничен хипотиреоидизъм "
E05.0," м базедови- хронично рецидивиращо протичане, в непълна терапевтична ремисия "
E05.0, бадезовификата (типус маринеленарт в терапевтична ремисия 
E05.0," струма нодоза базедовификата гр 1б/-2, в начална терапевтична ремисия "
E05.0," м базедови / дд хашитоксикозис/- 1 епизод, средно тежка форма, в непълна терапевтична ремисия "
E05.0," хашитоксикозис- хронично рецидивиращо протичане, тежка форма, в начална терапевтична ремисия "
E05.0," хашитоксикоза- І-ви епизод, среднотежка форма, в начална терапевтична ремисия "
E05.0," хашитоксикозис- 1 епизод, средно тежка форма, в стадий на медикаментозен хипотиреоидизъм "
E05.0," м базедови- 1 епизод, средно тежка форма, в обострен стадий "
E05.0, базедова болест в ремисия 
E05.0, струма нодоза базедовификата гр 
E05.0," хашитоксикоза - І-ви епизод, средно тежка форма, в терапевтична ремисия "
E05.0," нодозна базедовифицирана струма - ІІІст, в непълна терапевтична ремисия "
E05.0," м базедови- хронично рецидивиращо протичане, ср "
E05.0, базедова болест - терапевтична ремисия 
E05.0, базедова болест - първи епизод 
E05.0," хашитоксикоза- нодозен вариант с протрахирано протичане, в терпевтична ремисия "
E05.0," базедова болест- първи епизод, средно-тежка форма "
E05.0, нодозна базедовифицирана струма 
E05.0," м базедови- хронично рецидивиращо протичане, в обострен стадий "
E05.0," струма нодоза базедовификата- средно тежка форма, астивен стадий "
E05.0," базедови - хронично-рецидивираща, средно-тежка форма "
E05.0," м базедови- 1 епизод, средно тежка форма, в терапевтична ремисия "
E05.0," хашитоксикозис- 1 епизод, средно тежка форма, в начална терапевтична ремисия "
E05.0," м базедови- 1 епизод, средно тежка фора, в терапевтична ремисия "
E05.0, м базедови- в терапевтична ремисия 
E05.0," базедова болест, І епизод, средно-тежка форма, в медикаментозен хипотиреоидизъм "
E05.0," хашитоксикозис - 1 епизод, средно тежка форма, във фаза на медикаментозно индуциран хипотиреоидизъм "
E05.0," м базедови- постоперативен рецидив, в начална терапевтична ремисия "
E05.0," м базедови- 1 епизод, лека форма, в непълна терапевтична ремисия "
E05.0, хашитоксикоза-хронично рецидивиращо протичане 
E05.0," м базедови - 1 епизод, средно тежка форма, в начална терапевтична ремисия "
E05.0," морбус базедови - І-ви епизод, среднотежка форма, в терапевтична ремисия "
E05.0," струма нодоза базедовификата - лека към средно тежка форма, "
E05.0," базедова болест с хронично-рецидивиращо протичане, рецидив след оперативно лечение и след радиойодтерапия, в терапевтична ремисия "
E05.0," базедови - І-ви епизод, средно тежка форма "
E05.0," м базедови- хронично рецидивиращо протичане, нодозна трансформация, в терапевтична ремисия "
E05.0," хашитоксикоза с протрахирано протичане, с нодзна трансформация, в начална терапевтична ремисия "
E05.0, базедова болест хронично рецидивиращо протичане - в терапевтична ремисия 
E05.0," нодозна базедовифицирана струма ІІ-ІІІ степен, тип токсичен аденом "
E05.0," базедова болест - І-ви епизод, средно тежка форма, в начална терапевтична ермисия "
E05.0," базедова болест І-ви епизод, средно тежка форма, в начална терапевтична ремисия "
E05.0," хашитоксикоза - ІІ-ри епизод, средно тежка форма, с нодозна трансформация, в субклиничен медикаментозно индуциран хипотиреоидизъм "
E05.0," хашитоксикоза - i епизод , средно-тежка форма, в начална ремисия "
E05.0," хашитоксикоза - І епизод, средно-тежка форма, в терапевтична ремисия "
E05.0," базедова болест- хронично рецидивиращо протичане, нодозна трансформация, в терапевтична ремисия "
E05.0," хашитоксикоза- хронично-рецидивиращо протичане, средно тежка форма, активна "
E05.0," хашитоксикоза с протрахирано протичане, нодозен вариант, в терапевтична ремисия "
E05.0," хашитоксикоза - Іви епизод, средно тежка форма с нодозна трансформация, начална терапевтична ремисия "
E05.0," базедова болест - І-ви епизод, с нодозна трансформация, средно тежка форма, в терапевтична ремисия "
E05.0," базедова болест І-ви епизод, средно тежка форма, в терапевтична ремисия "
E05.0, базедова болест- неактивна фаза 
E05.0, базедова болест i епизод- средно тежка форма в начална терапевтична ремисия 
E05.0," струма нодоза базедовификата гр 2/, І епизод, средно-тежка форма, в начална терапевтична ремисия "
E05.0," базедова болест - І епизод, активна фаза, средно-тежка форма "
E05.0, базедова болест- първи епизод- начална терапевтична ремисия 
E05.0, хашитоксикоза- нодозен вариант 
E05.0," хашитоксикоза с хронично-рецидивиращо протичане, средно тежка форма, в начален медикаментозно индуциран хипотиреоидизъм "
E05.0," базедова болест- iii епизод, постоперативен рецидив- в начална терапевтична ремисия "
E05.0, струма нодоза базедовификата-iii ст 
E05.0," нодозна базедовифицирана струма І-б стпене, субклиничен хиперпаратиреоидизъм "
E05.0," хашитоксикозис- хронично рецидивиращо протичане, в непълна терапевтична ремисия / в стадий на медикаментозен хипотиреоидизъм/ "
E05.0," м базедови- хронично рецидивиращо протичане, в стадий на медикаментозен хипотиреоидизъм "
E05.0," м базедови - І епизод, средно тежка фора, в терапевтична ремисия "
E05.0, струма нодоза базедовификата 
E05.0," базедова болест- І епизод- среднотежка форма, активна фаза "
E05.0," базедова болест І-ви епизод, средно тежка форма, непълна терапевтична ремисия "
E05.0," м базедови хронично рецидивиращо протичане, средно тежка форма, активен стадий "
E05.0," хашатоксикозис - І - ви епизод, средно тежка форма, с нодозна трансформация, в терапевтична ремисия "
E05.0," м базедови- 1 епизод, средно тежка форма, активен стадий "
E05.0, базедови - хронично-рецидивиращо протичане 
E05.0," хашитоксикозис- хронично рецидивиращо протичане, средно тежка форма, в непълна терапевтична ремисия "
E05.0, тиреоидеа про струма нодоза базедовификата 
E05.0, струма нодоза базедовификата актива 
E05.0," м базедови - І епизод, средно тежка форма, в терапевтична ремисия "
E05.0," базедова болест - І-ви епизод, средно тежка форма, с нодозна трансформация, в терапевтична ремисия "
E05.0, базедова болест-ІІІ епизод- ремисия 
E05.0," хашитоксикоза - хронично-протрахирано протичане, средно-тежка форма, в стадий на терапевтична ремисия "
E05.0," морбус базедови ІІІ-ти епизод, средно тежка форма, активен "
E05.0, базедова болест- І епизод-ремисия 
E05.0, базедови-клинична и хормонална ремисия 
E05.0," базедова болест І-ви епизод, средно тежка форма, непълна имунологична ремисия "
E05.0," м базедови - 1 епизод, средно тежка форма, в непълна терапевтична ремисия "
E05.0," м базедови- постоперативен рецидив, в непълна терапевтична ремисия "
E05.0," базедова болест с хронично-рецидивиращо протичане, рецидив след субтотална резекция на щитовидна жлеза, средно-тежка форма "
E05.0," хашитоксикозис І епизод, средно тежка форма, имунологична ремисия "
E05.0," м базедови- хронично рецидивиращо протичане, в стадий на начална терапевтична ремисия "
E05.0," базедова болест - първи епизод, в начална терапевтична ремисия "
E05.0," базедова болест- първи епизод, в начална терапевтична ремисия "
E05.0, нодозна базедовифицирана струма - начална терапевтична ремисия 
E05.0, базедова болест - в ремисия 
E05.0, базедова болест-ремисия 
E05.0," базедова болест- първи епизод, средно тежка форма, активна фаза "
E05.0," базедова болест-І епизод, лека степен "
E05.0, нодозна базедовифицирана струма /тип марин-ленард?/ - фаза на терапевтична ремисия 
E05.0," базедова болест І-ви епизод, средно тежка форма, в терапевтична и имунологична ремисия "
E05.0," хашитоксикоза- ii епизод, в клинична и хормонална ремисия "
E05.0," хашитоксикоза- хронично рецидивиращо протичане, средно тежка форма, терапевтична ремисия "
E05.0," базедова болест i епизод, средно тежка форма "
E05.0," морбус базедови, първи епизод, средно-тежка форма "
E05.0," базедови - І-ви епизод, тежка форма "
E05.0," хашитоксикоза- ii епизод, в клинична, хормонална и имунологична ремисия "
E05.0," хашитоксикоза - с протрахирано протичане, средно тежка форма, активна "
E05.0," нодозна базедовифицирана струма от І-б - ІІ степен, в терапевтична ремисия "
E05.0," базедова болест - І епизод, средно тежка форма, с нодозна трансформация, в терапевтична ремисия "
E05.0," хашитоксикоза - с хронично рецидивиращо протичане, начална терапевтична ремисия "
E05.0, базедова болест- в терапевтична ремисия 
E05.0, нодозна базедовифицирана струма /тип токсичен аденом/ 
E05.0," базедова болест-с нодозна трансформация i-ви епизод , средно-тежка форма, терапевтична и имунологична ремисия "
E05.0," хашитоксикоза - І-ви епизод, средно тежка форма, активна "
E05.0," хашитоксикоза - първи епизод, средно-тежка форма, в терапевтична ремисия "
E05.0," морбус базедови i епизод, средно-тежка форма "
E05.0," хашитоксикоза - І-ви епизод, средно тежка форма, в начална терапевтична ремисия "
E05.0," хашитоксикоза І-ви епизод, средно тежка форма, в терапевтична ремисия "
E05.0, хашитоксикоза - Іv епизод с хронично-рецидивиращо протичане и начална нодозна трансформация на струмата 
E05.0, базедова болест- ІІІ епизод -средно-тежка форма- в обострен стадий 
E05.0," хашитоксикоза-хронично-рецидивиращо протичане, с начална нодозна трансформация "
E05.0," базедова болест - хронично рецидивиращ ход, пореден епизод, медикаментозна ремисия "
E05.0," базедова болест- хронично рецидивиращо протичане, тежка форма, активен стадий "
E05.0," морбус базедови - i епизод, активна фаза, средно тежка форма "
E05.0," базедова болест ІІІ-епизод, в терапевтична ремисия, имунологично неактивна "
E05.0," базедова болест с нодозна трансформация, в терапевтична и имунологична ремисия "
